iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
0,0.026868262934431834,0.009292626164366569,4.378282828023657,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108
1,0.028836760102932305,0.009292617757859764,25.525492687011138,0.044636528275952714,9.999999999999159e-07,1.8873510877183743,1.8873510876949444,1.8873455924554028,1.8873455924477003,1.887345592448483,1.88734559244761,1.8873510877047999,1.8873455924601108,1.88735108768323,1.8873510877118616,1.8873510877138915,1.887351087714676,1.8873510877040116,1.887351087703518,1.8873510877087063
2,0.03056632969745855,0.00929244492810079,23.770793861942366,0.06145551114423654,2.097999999999987e-05,1.8874088067178363,1.8874061601870447,1.8872889250173348,1.8872880347877081,1.8872882108711433,1.8872884945078676,1.8874084637835442,1.8872879046717224,1.8874058337175363,1.8874086508890253,1.8874088113491359,1.8874087594301636,1.8874087242685829,1.8874087819585998,1.8874066702607262
3,0.028310202284503396,0.009292199357720993,22.144460714887828,0.0704804916209162,4.095999999999993e-05,1.8875213996175693,1.8874137189611382,1.8871805113949343,1.8871756407308695,1.8871756953420429,1.8871764827991677,1.8875151052064219,1.8871792505827718,1.8874739126754088,1.8875186475589825,1.887520719202964,1.887520645033338,1.8875205648151239,1.8875207578365325,1.887515681148548
4,0.02526661001934342,0.009291959609477094,21.272466555936262,0.0697875371420922,6.0939999999999996e-05,1.8876882142639781,1.8873431405023258,1.8870165211395493,1.8870076299453977,1.88700756406124,1.8870089765860654,1.8876685149353147,1.887018365378124,1.8874697683900272,1.8876769346190727,1.8876846531644806,1.8876873360898236,1.8876873146826145,1.887686947276383,1.8876803344129311
5,0.029821593420281456,0.009291553714042923,20.87790273805149,0.05397320905110259,8.091999999999984e-05,1.8879103378411908,1.88729557709604,1.8868038497357251,1.886786631724715,1.8867855300382512,1.8867887330372801,1.8878790248129969,1.886814363931991,1.8875231549834985,1.8878916227549114,1.8879041708877262,1.8879096371524484,1.8879094497082385,1.8879089094720776,1.8878992321755148
6,0.028597464285379112,0.009291107725742978,22.568507445044816,0.06723929127032562,0.0001008999999999999,1.8881870800186538,1.8871992929318657,1.8865339221880768,1.886509503997827,1.8865079639136701,1.886512259505081,1.8881392235082834,1.8865528943189882,1.88755192992574,1.8881577863444707,1.8881769886460538,1.8881856282928768,1.8881851884344454,1.8881835674582799,1.8881753347760295
7,0.022641894135364105,0.009290733441758998,20.02860166085884,0.07462509738114957,0.00012087999999999997,1.888515371207916,1.8870052570569706,1.8862069387034992,1.886174670662612,1.8861724322244011,1.8861791661166627,1.888439586054245,1.8862348404112295,1.887456054144978,1.8884563687657976,1.888497394333374,1.88851794248779,1.8885156748627265,1.8885154353754314,1.8885072267609007
8,0.025345302350989033,0.00929023451196216,19.808996712090448,0.048582203044254604,0.00014085999999999992,1.888897997323146,1.8867901552346344,1.8858387856786256,1.8857897906946046,1.885787060714345,1.885800011320693,1.888797841871076,1.8858718384294306,1.8873753290995157,1.8888123247839417,1.888873220905439,1.8889075394880366,1.8889011179098285,1.8889041005914018,1.8888917340652338
9,0.023174230709656324,0.009289810731027193,20.84059666702524,0.07684735049658327,0.00016083999999999998,1.8893338521290794,1.8864864268261052,1.8854077114963839,1.885345210351417,1.8853438410417576,1.8853615032380602,1.889171767284481,1.885445274465069,1.88718988058774,1.8892047221552613,1.889301088822187,1.889350704723955,1.8893398292746415,1.8893465794820425,1.8893356054581096
10,0.028874996963377954,0.009289214154447032,21.499400625005364,0.05147922688582969,0.00018081999999999983,1.889824540754844,1.8861959848539545,1.8849399253153947,1.8848527123909986,1.8848510459176324,1.8848747517643312,1.889613165602891,1.8849824129926933,1.8870374085973796,1.8896581364589053,1.8897850757756223,1.8898500783540269,1.8898338422271714,1.889843315465299,1.8898322118750939
11,0.027986187738284207,0.009288600384086593,21.66353078489192,0.07944577648079047,0.0002007999999999999,1.890372047605855,1.8858433577324047,1.8844074579579693,1.884299863119861,1.8842979223650278,1.8843249454099649,1.8900959919154394,1.8844596297213547,1.8868593085986727,1.890166857760023,1.890325587489386,1.8904017786953167,1.8903821596337753,1.8903941271522031,1.8903873423210273
12,0.025351101253337956,0.009287968600510258,20.091133401030675,0.06774573070406716,0.00022077999999999996,1.890974198937397,1.8854255006847338,1.8838191788756822,1.8836905496141023,1.8836866610465908,1.8837190782879876,1.89062733491717,1.8838775751974992,1.8866336020858876,1.8907256488187267,1.8909206453331462,1.8910106883376503,1.8909856317785863,1.891002470395391,1.8909977562627698
13,0.025434343136526948,0.009287313533509572,21.49588109483011,0.06191961355265226,0.0002407599999999999,1.8916298648644003,1.8849523768342489,1.8831738931089448,1.883027365839824,1.883024613965877,1.8830608635315533,1.8912005633394606,1.8832353190413642,1.886342884711511,1.8913330135764703,1.8915772116549632,1.891673731097378,1.8916561055165568,1.8916647506441158,1.8916642758760636
14,0.033463952368023624,0.009286244203343527,21.09519766503945,0.042237355709062084,0.00026074,1.892346635718064,1.8846178359712327,1.8825041182902562,1.8823293450812053,1.8823282430128156,1.8823686062542482,1.8918582577850134,1.882605255894498,1.8862113483399117,1.892014125618364,1.8922942517882944,1.8923900215716252,1.8923788004480144,1.892380180810658,1.8923860824341494
15,0.027039664109464595,0.009285237816127872,22.039461880922318,0.0749631724456511,0.00028071999999999993,1.8931205781918534,1.8842102744230038,1.8817616988996166,1.8815672891170843,1.8815758682007615,1.8816109515357382,1.892516936203496,1.8819060295827306,1.8860202312889607,1.8927391412191616,1.8930638144601473,1.893152192901322,1.8931472975812176,1.8931422492513057,1.8931734567535212
16,0.02957930982991392,0.009283852407671295,19.66537076095119,0.03955066170178497,0.0003007,1.8939525176908558,1.8838980366624156,1.8810116235285927,1.8807732869659741,1.8807908388170764,1.8808273837177898,1.893262118892049,1.8812127432746812,1.8859593953842388,1.8935353746685644,1.893889332558837,1.8939747740482977,1.8939679934741602,1.8939612815806337,1.8940069893317915
