iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
0,0.024427448387265727,0.0031301160151349433,4.746854269877076,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081
1,0.0260255139026584,0.0031300831232929072,5.97716896305792,0.031157037163931183,9.999999999999159e-07,1.8873510877187112,1.8873510877177582,1.8873510877171298,1.8873510877148871,1.8873510877118915,1.8873510877052495,1.8873510877020738,1.8873510876826638,1.887345593001941,1.887351087703978,1.0000069704760207e-06,0.2817545251317261,0.434043782786723,0.5310648054105994,0.5987795940616948,0.648924326127169,0.68764685401405,0.7185008534598145,0.7436920465932327,0.7646647176173081
2,0.027478505125060042,0.003129364417224143,5.951259698951617,0.0318786757896401,2.097999999999987e-05,1.8874087591630069,1.8874087913741857,1.8874086745986847,1.8874087921285447,1.8874088059847638,1.887408776305538,1.8874085278793769,1.88740863912188,1.8873807019307385,1.8874088097451187,2.1991166004395573e-05,0.281775527087318,0.43406475339022377,0.5310857912172983,0.5988005868613919,0.6489453305753513,0.6876678455244382,0.7185218109150006,0.7437130538563276,0.7646647176173081
3,0.025549452742511934,0.0031279852635198056,2.589928681962192,0.030478011314430845,4.095999999999993e-05,1.8875212322263197,1.8875213080200084,1.8875207829402094,1.8875212834665793,1.8875213564849465,1.8875213809410447,1.8875183585434954,1.8875211774705636,1.8873964928433238,1.887521215179079,6.292259995568717e-05,0.2818164737719546,0.4341055789158477,0.5311266594762734,0.5988414805853821,0.6489862668657529,0.6877085111717521,0.7185624455164917,0.7437525350804585,0.7646647176173081
4,0.023042300814499234,0.0031259894313739366,2.7273570119868964,0.029084055530385816,6.0939999999999996e-05,1.8876882134378337,1.8876881078241847,1.8876873308295514,1.8876876669400908,1.8876871938892181,1.8876859219715207,1.8876834962302684,1.8876443733945583,1.8873515835974113,1.8876886380769888,0.0001236595517264644,0.2818771391032349,0.4341661674049032,0.5311872056744275,0.598901941996174,0.6490465509854445,0.6877689086125199,0.7186219203936476,0.7438103175085153,0.7646647176173081
5,0.026871905501627782,0.0031232985315985708,4.398923215921968,0.030776714443405368,8.091999999999984e-05,1.8879101775594291,1.8879100854043809,1.8879080081234592,1.8879092061023903,1.887908272896473,1.8879062432893507,1.8879022559883856,1.887822487609674,1.8873801370895074,1.8879106930052585,0.00020441762386289798,0.2819578890435396,0.43424654706549126,0.5312676653003569,0.5989823587624167,0.6491268858699214,0.6878492321217414,0.7187013098099398,0.7438885381522596,0.7646647176173081
6,0.025841776251916956,0.0031199445494911053,2.8051016631070524,0.030985224637739162,0.0001008999999999999,1.888187262253186,1.8881871581615854,1.8881835274744148,1.888185717973811,1.8881844464250643,1.8881817990626866,1.888172402474172,1.8880597432389072,1.8873901777298856,1.8881894034887972,0.00030522141810526666,0.2820586797719364,0.43434688636066787,0.5313680814344187,0.5990827472590468,0.6492272401535921,0.6879491225807247,0.7188006265186198,0.7439856945185952,0.7646647176173081
7,0.02081984221407472,0.003115971223065787,2.9535706830210984,0.02701849652489513,0.00012087999999999997,1.8885174910036338,1.8885166375771396,1.8885122381639399,1.8885133229205302,1.888510968584073,1.888505634303,1.8884931531777602,1.8883464771060536,1.887403375958255,1.8885250489957186,0.00042524806187733646,0.28217841547094213,0.43446637802413607,0.5314872608148212,0.5992016082628228,0.6493456706687667,0.6880671328115426,0.7189181811601809,0.744101103206921,0.7646647176173081
8,0.023079443445034722,0.0031114975168898456,3.561336822109297,0.029644028229304537,0.00014085999999999992,1.888902515385347,1.888899484665264,1.8888971873569806,1.8888950934077609,1.8888928927357131,1.888879699805844,1.8888482404365576,1.8886939125428603,1.8872238859651422,1.8889163572464913,0.0005651359204633458,0.28231752856413683,0.4346060840634746,0.5316264492621962,0.5993406898835165,0.6494840381458971,0.6882024272428505,0.7190532577305461,0.7441856455079536,0.7646647176173081
9,0.02120883863661842,0.0031064392097030274,2.618024453986436,0.02785321864505152,0.00016083999999999998,1.889341231011419,1.889334804247494,1.8893363173260196,1.8893280745539487,1.8893258975142033,1.889302817849364,1.8892505266100001,1.8891008819188333,1.886973165841311,1.889364385306124,0.0007244357162560624,0.2824756333220536,0.43476527453242314,0.5317846468503903,0.5994985878149861,0.6496409567999485,0.6883554609003814,0.719207273846822,0.7442763336420641,0.7646647176173081
