iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
0,0.8318133715310844,0.009292626164366569,2.357129461830482,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108
1,0.8318133715310844,0.009292644851632427,2.2395068909972906,7.8485307533449555,1.0000000000000006e-06,1.8873455924691627,1.8873455924691878,1.8873455924691542,1.8873455924692024,1.8873455924691658,1.8873455924691438,1.887345592469378,1.8873455924691438,1.8873455924691542,1.8873510876978647,1.8873510876978545,1.887345592469444,1.887345592469217,1.8873455924692055,1.8873455924691713
2,0.8318142663994285,0.009292664773374239,1.8779103870037943,6.897317198291162,1.1800000000000006e-06,1.88734235982646,1.8873423886673475,1.8873429329281037,1.8873423780058072,1.8873424148424496,1.887342348375731,1.8873460365488202,1.8873427530585016,1.8873425667340002,1.8873521259981876,1.887354233159326,1.887343029326376,1.887342350747889,1.887342405285971,1.887342413288996
3,0.8318151987704937,0.009292687716637023,0.10618805303238332,6.89730388160803,1.3600000000000005e-06,1.8873386196228188,1.887338702916901,1.8873400971459504,1.8873386784003172,1.887338763384256,1.8873386020928977,1.8873478010597826,1.887339608573759,1.8873391287137247,1.8873521059738747,1.8873578415664378,1.88733972676721,1.8873386054005492,1.8873386958731266,1.8873387094294725
4,0.831816255889915,0.009292713832773998,0.10312677384354174,6.89725376587529,1.5400000000000005e-06,1.8873343742890387,1.887334530497261,1.8873370004323908,1.8873344903119154,1.8873346297132716,1.8873343550697246,1.8873504768700817,1.887336094888083,1.887335244660755,1.8873512376884232,1.887361926229787,1.8873358059876677,1.8873343581134083,1.8873344708086905,1.887334488326116
5,0.8318174499829271,0.009292743175254626,0.10207112412899733,6.897206014270486,1.7200000000000005e-06,1.8873296257043413,1.8873298698208243,1.8873336010770618,1.8873298125883178,1.8873300110316524,1.8873296083048736,1.8873539070773053,1.8873321825412406,1.8873309013230037,1.8873496197466961,1.8873664917066357,1.8873313115948138,1.8873296101067703,1.887329734702904,1.8873297550605355
6,0.831818785732566,0.00929277576982984,0.10327704413793981,6.89715019496662,1.9000000000000004e-06,1.887324375100987,1.887324720120878,1.8873298735569581,1.8873246446597725,1.8873249060383728,1.8873243624534177,1.8873580143847768,1.8873278547525991,1.887326092066005,1.887347307879161,1.8873715401089919,1.8873262652921698,1.8873243621835258,1.8873244904036672,1.887324512742936
7,0.8318202655102408,0.009292811631546171,0.10258013103157282,6.897070821055964,2.0800000000000004e-06,1.887318623345202,1.887319080926784,1.8873258000552324,1.8873189861686148,1.8873193139680975,1.887318617988207,1.8873627545981053,1.8873231005871545,1.8873208129657162,1.8873443374790304,1.887377072654123,1.887320679500685,1.8873186149186634,1.8873187398098488,1.88731876343377
8,0.8318218907435964,0.009292850770464682,0.10604584403336048,6.896977071337093,2.2600000000000004e-06,1.887312371086875,1.8873129518924288,1.8873213670248927,1.8873128368427663,1.887313234274117,1.8873123752724545,1.8873680998267746,1.8873179122209118,1.8873150613869658,1.8873407329316463,1.8873830901756692,1.8873145621457428,1.8873123687505993,1.8873124842828144,1.887312508602538
9,0.8318236624012758,0.00929289319399805,0.10507727297954261,6.896883576431902,2.440000000000001e-06,1.8873056188449053,1.8873063327363664,1.8873165635477702,1.887306196462105,1.8873066665198355,1.8873056346046173,1.8873740310875073,1.8873122836734946,1.8873088353753138,1.887336512094338,1.8873895933258613,1.8873079187077475,1.8873056240324906,1.8873057248642073,1.8873057493715657
