iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14
0,0.4124083535573148,0.00032016308479450095,2.022129738004878,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134,0.7976243809601434,0.8108199838000862,0.8223766390185734,0.8325843815233089
1,0.4124083535573148,0.0003201651120738789,1.8836043959017843,7.652948389395645,9.999999999999972e-07,1.8873510877003241,1.8873455924666889,1.8873455924666582,1.8873510877002033,1.8873455924667137,1.887345592466653,1.8873510877002522,1.887351087700346,1.8873455924666456,1.887351087700357,1.88735108770032,1.8873455924668268,1.8873510877003492,1.8873510877003552,1.8873510877003492,1.0000003066471404e-06,0.2817525251250149,0.43404178277997935,0.531064805404759,0.598777594055722,0.6489223261220673,0.6876448540102288,0.7184988534588094,0.7436900466050473,0.7646637176169753,0.7824082432276824,0.797623380959815,0.8108209838003679,0.8223776390188775,0.8325843815233089
2,0.4124079605870109,0.00032017117186360376,1.7728127050213516,7.667934733047952,2.980000000000002e-06,1.8873579694830187,1.8873374047903517,1.8873374043887132,1.8873592756985929,1.887337404891417,1.8873374045007687,1.887359276921939,1.8873592752500326,1.8873374044405808,1.8873592760776772,1.8873592765298413,1.8873374012773807,1.8873592758022821,1.8873592755526727,1.8873592617760557,2.636349329763392e-06,0.2817495453073031,0.43403880275768725,0.5310677856147304,0.5987746141646486,0.6489193461207055,0.6876418740569858,0.7184958733749222,0.7436870665566198,0.7646607376148188,0.7824052632635364,0.7976204009020534,0.8108239637829229,0.8223806190298505,0.8325843815233089
3,0.4124069571937192,0.00032018127544583596,0.11060376698151231,7.669141404527836,4.960000000000007e-06,1.8873687320066206,1.8873237769139621,1.8873237756470604,1.8873729040524925,1.8873237766857698,1.8873237758946133,1.887372907810455,1.8873729029705466,1.887323775952714,1.8873729056607804,1.8873729076999768,1.8873237679523918,1.8873729042120837,1.8873729038277547,1.8873729116203606,4.243964517671504e-06,0.2817445856328419,0.4340338426360162,0.5310727462075318,0.5987696542956066,0.6489143860155046,0.6876369140502314,0.7184909131608801,0.7436821064379823,0.7646557776405195,0.782400303397983,0.7976154408813352,0.810828923756379,0.8223855791465168,0.8325843815233089
4,0.41240541288496935,0.00032019543049411747,0.12508818786591291,7.672209001245636,6.939999999999998e-06,1.8873834131932112,1.8873047087760484,1.8873047060615362,1.8873919730106021,1.8873047096567768,1.8873047065476058,1.8873919826657026,1.8873919706969755,1.8873047066698452,1.8873919771389274,1.8873919832372124,1.8873046883526843,1.8873919730303195,1.887391972561519,1.8873920489666327,5.482282251768877e-06,0.28173764620032005,0.43402690243293796,0.5310796877061088,0.598762714898936,0.6489074458193077,0.6876299740193161,0.7184839725730559,0.7436751661083506,0.7646488375944758,0.7823933636787621,0.7976085009023179,0.8108358639348835,0.8223925193971402,0.8325843815233089
5,0.4124033575407269,0.00032021364447621314,0.11538360104896128,7.668355005436683,8.919999999999989e-06,1.8874020835974163,1.8872802011382204,1.8872801963607058,1.8874164841335956,1.8872802026155675,1.8872801966125685,1.887416496620099,1.8874164787777052,1.8872801974047433,1.8874164882484643,1.887416500319389,1.8872801617985027,1.8874164832856763,1.8874164823041655,1.887416676834266,6.101575054398866e-06,0.28172872703750096,0.4340179822893363,0.5310886099881463,0.5987537957404312,0.6488985256024056,0.6876210540360217,0.7184750521178463,0.743666245821578,0.7646399175273729,0.7823844440777669,0.7975995807602557,0.8108447840191758,0.8224014398738402,0.8325843815233089
6,0.41240081082874414,0.00032023592419929136,0.1276735479477793,7.67518562405248,1.0899999999999994e-05,1.8874248486908214,1.8872502530825859,1.8872502439524736,1.887446430492292,1.8872502625394678,1.8872502457568143,1.8874464625984395,1.8874464254267267,1.8872502464811545,1.8874464431539428,1.8874464631481453,1.8872501625056983,1.8874464359070486,1.8874464331050742,1.8874467968719877,5.953278018578571e-06,0.28171782849134286,0.4340070813960442,0.5310995126594271,0.598742898177342,0.6488876253832743,0.6876101543627663,0.7184641512412449,0.7436553450338867,0.7646290172184083,0.7823735444922092,0.7975886799933942,0.8108556835255558,0.8224123404729488,0.8325843815233089
7,0.41239778429824564,0.0003202622749570552,0.1103483980987221,7.675967593941123,1.2879999999999999e-05,1.8874518291580404,1.8872148661819566,1.8872148485995925,1.887481817041137,1.8872148878795028,1.887214850786491,1.8874818727766451,1.8874818142378824,1.8872148547388163,1.8874818402497773,1.8874818713482355,1.8872147042448983,1.887481832804027,1.8874818261540036,1.8874824083570736,4.930802697507876e-06,0.2817049509267143,0.4339941996355085,0.5311123980127108,0.598730022863162,0.6488747444185082,0.6875972741742479,0.7184512699452061,0.7436424639524896,0.7646161367028856,0.782360664848584,0.7975757986403582,0.8108685636531798,0.8224252220274434,0.8325843815233089
8,0.4123942831729141,0.0003202927015389705,0.11802926403470337,7.673324347379929,1.4860000000000003e-05,1.887483046208292,1.8871740385735387,1.8871740117729765,1.8875226465763888,1.8871740800821162,1.8871740150467105,1.8875227252654074,1.8875226407693277,1.8871740224240774,1.8875226804213026,1.8875227344581493,1.8871737990448518,1.8875226690410698,1.8875226626764248,1.8875235105181387,2.8771220948350045e-06,0.28169009377805915,0.43397933780767783,0.5311272672730745,0.5987151702256209,0.6488598836885455,0.6875824143026793,0.7184364079239168,0.7436276025451961,0.7646012760990047,0.7823458059288161,0.7975609380112084,0.8108834240863941,0.822440084901419,0.8325843815233089
9,0.41239032145760335,0.000320327213413327,0.11512293992564082,7.6572980077819635,1.6840000000000008e-05,1.8875184616904102,1.887127773100534,1.8871277404325415,1.8875689139265093,1.8871278273486436,1.8871277470063414,1.887568996052953,1.8875689088155083,1.8871277556338926,1.887568947266908,1.8875690223790438,1.8871275163696501,1.8875689417104617,1.8875689464518977,1.8875700990612847,-4.2048685698333855e-07,0.2816732558629658,0.43396249698057926,0.5311441108759909,0.5986983359388989,0.6488430446774679,0.6875655753373551,0.7184195682506336,0.7436107627439169,0.7645844358861819,0.7823289670753764,0.7975440988380429,0.8109002642576362,0.822456929323561,0.8325843815233089
