K,eps_idx,eps,alpha,mro_sol,solvetime,dro_feas_sol
1.0,0.0,1.0,0.1,6.905466722379628,0.817967787,6.905466722379628
1.0,1.0,3.1622776601683795,0.1,7.398627429018227,0.797494703,7.398627429018227
1.0,2.0,10.0,0.1,8.907303664965088,0.788288144,8.907303664965088
2.0,0.0,1.0,0.1,3.3619337603442423,1.541984329,3.3619337603442423
2.0,1.0,3.1622776601683795,0.1,3.5243244328893644,1.48960196,3.5243244328893644
2.0,2.0,10.0,0.1,4.018111808991566,1.440096875,4.018111808991566
3.0,0.0,1.0,0.1,1.7481643971568501,2.357026497,1.7481643971568501
3.0,1.0,3.1622776601683795,0.1,1.8097329903461414,2.361257507,1.8097329903461414
3.0,2.0,10.0,0.1,1.9971457525419987,2.480818903,1.9971457525419987
4.0,0.0,1.0,0.1,0.9815764293382678,3.976248824,0.9815764293382678
4.0,1.0,3.1622776601683795,0.1,1.0084683702280297,4.080242805,1.0084683702280297
4.0,2.0,10.0,0.1,1.0900348450065602,4.055828518,1.0900348450065602
5.0,0.0,1.0,0.1,0.5993680787990756,6.92933253,0.5993680787990756
5.0,1.0,3.1622776601683795,0.1,0.6128376441171262,6.593157969,0.6128376441171262
5.0,2.0,10.0,0.1,0.6532353134254292,6.764278827,0.6532353134254292
6.0,0.0,1.0,0.1,0.39822794010351964,10.179163871,0.39822794010351964
6.0,1.0,3.1622776601683795,0.1,0.4059174273393228,11.101380628,0.4059174273393228
6.0,2.0,10.0,0.1,0.428552056983967,10.724708516,0.428552056983967
7.0,0.0,1.0,0.1,0.28736851675597386,15.255218787,0.28736851675597386
7.0,1.0,3.1622776601683795,0.1,0.2924031282672036,15.69804495,0.2924031282672036
7.0,2.0,10.0,0.1,0.3064440195191889,16.04243079,0.3064440195191889
8.0,0.0,1.0,0.1,0.22349779212535825,24.321927632,0.22349779212535825
8.0,1.0,3.1622776601683795,0.1,0.22709265648761234,24.726120133,0.22709265648761234
8.0,2.0,10.0,0.1,0.23666910527338134,23.892048309,0.23666910527338134
9.0,0.0,1.0,0.1,0.18541977089103012,36.532476756,0.18541977089103012
9.0,1.0,3.1622776601683795,0.1,0.18817170082984408,35.499661846,0.18817170082984408
9.0,2.0,10.0,0.1,0.1952633803912155,37.43467138,0.1952633803912155
10.0,0.0,1.0,0.1,0.16232273090860597,49.068486124,0.16232273090860597
10.0,1.0,3.1622776601683795,0.1,0.16448773136115719,46.28939952,0.16448773136115719
10.0,2.0,10.0,0.1,0.16997185738220813,49.470008731,0.16997185738220813
11.0,0.0,1.0,0.1,0.14816441517648463,62.614425154,0.14816441517648463
11.0,1.0,3.1622776601683795,0.1,0.14989396628478455,60.986244174,0.14989396628478455
11.0,2.0,10.0,0.1,0.15415539477330933,61.365988347,0.15415539477330933
12.0,0.0,1.0,0.1,0.13870922268922412,88.995254141,0.13870922268922412
12.0,1.0,3.1622776601683795,0.1,0.14018805127437017,83.931049341,0.14018805127437017
12.0,2.0,10.0,0.1,0.14365049230942925,84.975989473,0.14365049230942925
13.0,0.0,1.0,0.1,0.1319128734214465,128.210478059,0.1319128734214465
13.0,1.0,3.1622776601683795,0.1,0.1331974783508963,128.356358219,0.1331974783508963
13.0,2.0,10.0,0.1,0.1361639947497845,120.310741317,0.1361639947497845
14.0,0.0,1.0,0.1,0.1267192172341862,151.542313453,0.1267192172341862
14.0,1.0,3.1622776601683795,0.1,0.12788672598318543,143.641121415,0.12788672598318543
14.0,2.0,10.0,0.1,0.1304652594788821,141.53467046,0.1304652594788821
15.0,0.0,1.0,0.1,0.12223677432053544,221.237978359,0.12223677432053544
15.0,1.0,3.1622776601683795,0.1,0.12330376279946667,204.738647625,0.12330376279946667
15.0,2.0,10.0,0.1,0.12554768681722198,206.055379204,0.12554768681722198
