K,obj,val,solvetime
1,grad_sq_norm,9.950822105944896,0.017785663
2,grad_sq_norm,4.422587607834624,0.000686568
3,grad_sq_norm,2.171078995516363,0.00100408
4,grad_sq_norm,1.1678242103970267,0.001734241
5,grad_sq_norm,0.6775473010415144,0.002921727
6,grad_sq_norm,0.4179962401520277,0.003711905
7,grad_sq_norm,0.275933308607957,0.007393176
8,grad_sq_norm,0.22972529375372314,0.011579591
9,grad_sq_norm,0.19843103470429133,0.017775029
10,grad_sq_norm,0.17354340856116843,0.02590441
11,grad_sq_norm,0.1530684507511589,0.086500546
12,grad_sq_norm,0.1359618893753069,0.100651834
13,grad_sq_norm,0.12152061705058761,0.108828245
14,grad_sq_norm,0.10922522780355899,0.13039623
15,grad_sq_norm,0.09867792946758826,0.184383826
16,grad_sq_norm,0.08956809128997792,0.206473441
17,grad_sq_norm,0.08165005228183916,0.240038491
18,grad_sq_norm,0.07472758327591383,0.282387198
19,grad_sq_norm,0.06864257413442927,0.369270891
20,grad_sq_norm,0.06326666036867842,0.422907908
21,grad_sq_norm,0.058494841109502725,0.523261682
22,grad_sq_norm,0.054240597339469704,0.565098942
23,grad_sq_norm,0.05043224710090028,0.679418077
24,grad_sq_norm,0.04700997679884831,0.587924794
25,grad_sq_norm,0.04392357521875229,0.684780951
26,grad_sq_norm,0.04113069959125516,0.817215547
27,grad_sq_norm,0.038595429227125395,1.029885872
28,grad_sq_norm,0.036287146996016824,1.231836951
29,grad_sq_norm,0.03417962545833238,1.268180838
30,grad_sq_norm,0.03225031100084324,1.55417777
