K,eps_idx,eps,alpha_idx,alpha,mro_sol,solvetime,dro_feas_sol
23.0,0.0,0.0001,0.0,0.01,0.09390505443677713,80.74528003,0.09390505443677713
23.0,0.0,0.0001,1.0,0.05,0.08738983075159874,66.845097546,0.08738983075159874
23.0,0.0,0.0001,2.0,0.1,0.08530994843902445,54.021168445,0.08530994843902445
23.0,1.0,0.00024484367468222265,0.0,0.01,0.10101951026070499,86.317912513,0.10101951026070499
23.0,1.0,0.00024484367468222265,1.0,0.05,0.08901730972857214,73.390377227,0.08901730972857214
23.0,1.0,0.00024484367468222265,2.0,0.1,0.08615396227075191,55.112082538,0.08615396227075191
23.0,2.0,0.0005994842503189409,0.0,0.01,0.11490467420847211,76.232950253,0.11490467420847211
23.0,2.0,0.0005994842503189409,1.0,0.05,0.09278293487595105,70.543686126,0.09278293487595105
23.0,2.0,0.0005994842503189409,2.0,0.1,0.08811978902680681,57.55747802,0.08811978902680681
23.0,3.0,0.0014677992676220704,0.0,0.01,0.14268072519920344,78.944291925,0.14268072519920344
23.0,3.0,0.0014677992676220704,1.0,0.05,0.10080366166325813,80.034259176,0.10080366166325813
23.0,3.0,0.0014677992676220704,2.0,0.1,0.09265375067889874,57.006583995,0.09265375067889874
23.0,4.0,0.003593813663804626,0.0,0.01,0.19931139322947566,75.640941063,0.19931139322947566
23.0,4.0,0.003593813663804626,1.0,0.05,0.11652083887842674,91.745047241,0.11652083887842674
23.0,4.0,0.003593813663804626,2.0,0.1,0.10210246458934488,67.865215869,0.10210246458934488
23.0,5.0,0.008799225435691074,0.0,0.01,0.3201823347814498,75.105817973,0.3201823347814498
23.0,5.0,0.008799225435691074,1.0,0.05,0.14783626513833406,96.649406313,0.14783626513833406
23.0,5.0,0.008799225435691074,2.0,0.1,0.12043880166581354,72.610088207,0.12043880166581354
23.0,6.0,0.021544346900318843,0.0,0.01,0.5914062268278081,79.435236675,0.5914062268278081
23.0,6.0,0.021544346900318843,1.0,0.05,0.21280360980549182,91.270936946,0.21280360980549182
23.0,6.0,0.021544346900318843,2.0,0.1,0.15723488969879637,87.912788353,0.15723488969879637
23.0,7.0,0.052749970637026196,0.0,0.01,1.2289033644518854,75.060845475,1.2289033644518854
23.0,7.0,0.052749970637026196,1.0,0.05,0.3544049655959652,94.806244975,0.3544049655959652
23.0,7.0,0.052749970637026196,2.0,0.1,0.2342863028673456,90.008711078,0.2342863028673456
23.0,8.0,0.1291549665014884,0.0,0.01,2.4510056892720202,66.035073234,2.4510056892720202
23.0,8.0,0.1291549665014884,1.0,0.05,0.6757271497628459,95.059642046,0.6757271497628459
23.0,8.0,0.1291549665014884,2.0,0.1,0.4032671427629003,96.714985893,0.4032671427629003
23.0,9.0,0.31622776601683794,0.0,0.01,4.858413684415463,73.5479855,4.858413684415463
23.0,9.0,0.31622776601683794,1.0,0.05,1.3982683251190127,83.753194453,1.3982683251190127
23.0,9.0,0.31622776601683794,2.0,0.1,0.7918364416375596,103.074776946,0.7918364416375596
