i,K,obj_val
0.0,1.0,0.2940444619115755
0.0,2.0,0.21273112731465563
0.0,3.0,0.19004342206815164
0.0,4.0,0.17280364217097485
0.0,5.0,0.15938226064087888
0.0,6.0,0.14869678433203073
0.0,7.0,0.14001218697155507
0.0,8.0,0.1328216006235138
0.0,9.0,0.12676875227190257
0.0,10.0,0.12159833581921317
0.0,11.0,0.11712390163766154
0.0,12.0,0.11320683450883792
0.0,13.0,0.1097423592872098
0.0,14.0,0.10665006149263503
0.0,15.0,0.10386735284540419
0.0,16.0,0.10134488999558358
0.0,17.0,0.09904331056581775
0.0,18.0,0.09693087230149641
0.0,19.0,0.09498172114682782
0.0,20.0,0.09317460386676082
0.0,21.0,0.09149189932126015
0.0,22.0,0.08991888117407135
0.0,23.0,0.08844315077350742
0.0,24.0,0.08705419661002631
1.0,1.0,0.27704367122673784
1.0,2.0,0.2011392489371105
1.0,3.0,0.17843030575509372
1.0,4.0,0.16145172270659958
1.0,5.0,0.14831067250772728
1.0,6.0,0.1378719604563579
1.0,7.0,0.12939163773344664
1.0,8.0,0.12236393478423307
1.0,9.0,0.11643708783657386
1.0,10.0,0.11136112620818228
1.0,11.0,0.10695482431508208
1.0,12.0,0.10308428403599673
1.0,13.0,0.09964882381044293
1.0,14.0,0.09657150119313895
1.0,15.0,0.09379263142390509
1.0,16.0,0.09126527645411064
1.0,17.0,0.08895205301510645
1.0,18.0,0.08682283864501988
1.0,19.0,0.08485309891891735
1.0,20.0,0.08302265099646289
1.0,21.0,0.08131473803628686
1.0,22.0,0.07971532808573306
1.0,23.0,0.07821257711441176
1.0,24.0,0.07679641349892319
2.0,1.0,0.2879605165166424
2.0,2.0,0.20724325583644587
2.0,3.0,0.18188206372315946
2.0,4.0,0.16364364845978707
2.0,5.0,0.1498291305149062
2.0,6.0,0.13899898575545538
2.0,7.0,0.1302859432168001
2.0,8.0,0.12312098458835297
2.0,9.0,0.1171151965784662
2.0,10.0,0.11199574467837914
2.0,11.0,0.10756702622501646
2.0,12.0,0.1036859940067128
2.0,13.0,0.1002461234082459
2.0,14.0,0.0971667548211319
2.0,15.0,0.09438587353919159
2.0,16.0,0.09185512585549288
2.0,17.0,0.08953631900414022
2.0,18.0,0.08739892327203558
2.0,19.0,0.08541826255964585
2.0,20.0,0.08357418541311562
2.0,21.0,0.0818500763695943
2.0,22.0,0.08023211168266464
2.0,23.0,0.07870869280197273
2.0,24.0,0.07727001069936623
3.0,1.0,0.3046910141352404
3.0,2.0,0.2268756625524485
3.0,3.0,0.20289603945812745
3.0,4.0,0.1849229981266447
3.0,5.0,0.17094853821743794
3.0,6.0,0.15978426502455723
3.0,7.0,0.15065722788599062
3.0,8.0,0.14304385143790632
3.0,9.0,0.13658064388272734
3.0,10.0,0.13100943517442182
3.0,11.0,0.12614298283597636
3.0,12.0,0.1218427947831422
3.0,13.0,0.11800457116914376
3.0,14.0,0.11454844970213218
3.0,15.0,0.1114123438215423
3.0,16.0,0.10854730891356124
3.0,17.0,0.10591426340098126
3.0,18.0,0.10348163110835995
3.0,19.0,0.10122362064798879
3.0,20.0,0.09911895225733625
3.0,21.0,0.09714990359017767
3.0,22.0,0.09530158600974886
3.0,23.0,0.093561389609717
3.0,24.0,0.09191855322917236
4.0,1.0,0.28810434457182577
4.0,2.0,0.21237660589541169
4.0,3.0,0.1877133620528728
4.0,4.0,0.1699561997282758
4.0,5.0,0.1565097268138111
4.0,6.0,0.14598938861366578
4.0,7.0,0.13754682948027908
4.0,8.0,0.13062288167495056
4.0,9.0,0.12483560344738243
4.0,10.0,0.11991725847363605
4.0,11.0,0.11567595045857815
4.0,12.0,0.11197130280610784
4.0,13.0,0.10869870902179757
4.0,14.0,0.10577889137282454
4.0,15.0,0.10315083821323584
4.0,16.0,0.10076693273297388
4.0,17.0,0.09858953254315711
4.0,18.0,0.09658852777470928
4.0,19.0,0.09473957084856632
4.0,20.0,0.09302277489154809
4.0,21.0,0.09142174415360116
4.0,22.0,0.08992284297250985
4.0,23.0,0.08851463840519475
4.0,24.0,0.08718747084553052
5.0,1.0,0.3638039786378329
5.0,2.0,0.28476199080589165
5.0,3.0,0.2562722891849662
5.0,4.0,0.23540817825319554
5.0,5.0,0.21925855596466898
5.0,6.0,0.2062983406106651
5.0,7.0,0.19562763444873793
5.0,8.0,0.1866568906344862
5.0,9.0,0.17898078582460908
5.0,10.0,0.1723123628264151
5.0,11.0,0.16644363367828613
5.0,12.0,0.1612206237335227
5.0,13.0,0.15652714835092546
5.0,14.0,0.1522739992191981
5.0,15.0,0.14839159019192288
5.0,16.0,0.14482485538116946
5.0,17.0,0.14152964478644825
5.0,18.0,0.1384701342843529
5.0,19.0,0.13561693507899603
5.0,20.0,0.13294569354432578
5.0,21.0,0.1304360402545367
5.0,22.0,0.12807079127449367
5.0,23.0,0.12583533415481812
5.0,24.0,0.1237171508713985
6.0,1.0,0.28220962764693136
6.0,2.0,0.20748256756855704
6.0,3.0,0.18558918406829156
6.0,4.0,0.16898901028347557
6.0,5.0,0.15608636385431152
6.0,6.0,0.1458153747539901
6.0,7.0,0.13745794626884306
6.0,8.0,0.1305224396079167
6.0,9.0,0.1246657570806014
6.0,10.0,0.11964368327487063
6.0,11.0,0.11527900109354072
6.0,12.0,0.11144073591269066
6.0,13.0,0.10803041674491265
6.0,14.0,0.10497282127435176
6.0,15.0,0.1022096318301341
6.0,16.0,0.09969501304776335
6.0,17.0,0.09739247954868513
6.0,18.0,0.0952726437791353
6.0,19.0,0.09331157375941862
6.0,20.0,0.09148957972941701
6.0,21.0,0.08979030660241927
6.0,22.0,0.08820004731722758
6.0,23.0,0.0867072177122511
6.0,24.0,0.08530195086380682
7.0,1.0,0.28730774868151265
7.0,2.0,0.20303661966022157
7.0,3.0,0.17720743951208878
7.0,4.0,0.1582770697078854
7.0,5.0,0.14385568463114312
7.0,6.0,0.13254796085317305
7.0,7.0,0.12346225713734765
7.0,8.0,0.11600369331577387
7.0,9.0,0.10976483339815485
7.0,10.0,0.10445980536707161
7.0,11.0,0.09988358334750208
7.0,12.0,0.09588607886228773
7.0,13.0,0.0923553411689666
7.0,14.0,0.08920642382278521
7.0,15.0,0.08637385657812507
7.0,16.0,0.08380645604210696
7.0,17.0,0.08146368361492895
7.0,18.0,0.07931304625699914
7.0,19.0,0.07732821251664229
7.0,20.0,0.07548762725977881
7.0,21.0,0.07377347947643054
7.0,22.0,0.07217092365628114
7.0,23.0,0.07066748570728904
7.0,24.0,0.06925260485557605
8.0,1.0,0.3066722494553062
8.0,2.0,0.22550876123234598
8.0,3.0,0.19827874932113548
8.0,4.0,0.17855907206421834
8.0,5.0,0.1635091629255414
8.0,6.0,0.1516253737930458
8.0,7.0,0.14200756758671967
8.0,8.0,0.13406370277061974
8.0,9.0,0.12738671798175988
8.0,10.0,0.121688776348083
8.0,11.0,0.11676163736200273
8.0,12.0,0.11245148731026344
8.0,13.0,0.10864256996635752
8.0,14.0,0.10524627587624064
8.0,15.0,0.10219372375509761
8.0,16.0,0.09943061567544387
8.0,17.0,0.09691360400786814
8.0,18.0,0.09460768218395155
8.0,19.0,0.09248428125089131
8.0,20.0,0.09051986107767834
8.0,21.0,0.08869485362796381
8.0,22.0,0.08699286044497767
8.0,23.0,0.0854000361683746
8.0,24.0,0.08390460989998844
9.0,1.0,0.2737279181421934
9.0,2.0,0.20174086074308029
9.0,3.0,0.18140404950043348
9.0,4.0,0.16613437582548113
9.0,5.0,0.15432190969202442
9.0,6.0,0.14494114001434338
9.0,7.0,0.13731294787988552
9.0,8.0,0.1309771624453716
9.0,9.0,0.12561572882639693
9.0,10.0,0.1210042429269968
9.0,11.0,0.11698120265137057
