K,eps_idx,eps,alpha_idx,alpha,mro_sol,solvetime,dro_feas_sol
1.0,0.0,9.999999999999999e-06,0.0,0.01,0.9615282263570184,1.219588198,0.9615282263570184
1.0,1.0,2.818382931264455e-05,0.0,0.01,0.9615519323836114,0.003722982,0.9615519323836114
1.0,2.0,7.943282347242822e-05,0.0,0.01,0.961617135907281,0.003352308,0.961617135907281
1.0,3.0,0.00022387211385683378,0.0,0.01,0.9617999008683245,0.003328094,0.9617999008683245
1.0,4.0,0.000630957344480193,0.0,0.01,0.9623146084051573,0.00328603,0.9623146084051573
2.0,0.0,9.999999999999999e-06,0.0,0.01,0.8140138331487359,0.00558888,0.8140138331487359
2.0,1.0,2.818382931264455e-05,0.0,0.01,0.8140380458067177,0.005448746,0.8140380458067177
2.0,2.0,7.943282347242822e-05,0.0,0.01,0.8141047408839288,0.005721523,0.8141047408839288
2.0,3.0,0.00022387211385683378,0.0,0.01,0.8142905255681461,0.005698127,0.8142905255681461
2.0,4.0,0.000630957344480193,0.0,0.01,0.8148011122852742,0.006068496,0.8148011122852742
3.0,0.0,9.999999999999999e-06,0.0,0.01,0.6561741850890106,0.008091119,0.6561741850890106
3.0,1.0,2.818382931264455e-05,0.0,0.01,0.6561988441941187,0.008437769,0.6561988441941187
3.0,2.0,7.943282347242822e-05,0.0,0.01,0.6562674549293592,0.008897142,0.6562674549293592
3.0,3.0,0.00022387211385683378,0.0,0.01,0.6564557966580319,0.00888164,0.6564557966580319
3.0,4.0,0.000630957344480193,0.0,0.01,0.6569599155375808,0.008930522,0.6569599155375808
4.0,0.0,9.999999999999999e-06,0.0,0.01,0.5024407784528117,0.025030731,0.5024407784528117
4.0,1.0,2.818382931264455e-05,0.0,0.01,0.5024651996568359,0.013832877,0.5024651996568359
4.0,2.0,7.943282347242822e-05,0.0,0.01,0.5025302622700206,0.01477977,0.5025302622700206
4.0,3.0,0.00022387211385683378,0.0,0.01,0.5027091289444645,0.014304152,0.5027091289444645
4.0,4.0,0.000630957344480193,0.0,0.01,0.5032048596023173,0.014313161,0.5032048596023173
5.0,0.0,9.999999999999999e-06,0.0,0.01,0.3638159033219785,0.01894414,0.3638159033219785
5.0,1.0,2.818382931264455e-05,0.0,0.01,0.36384100801566654,0.019740145,0.36384100801566654
5.0,2.0,7.943282347242822e-05,0.0,0.01,0.3639072563472872,0.02186506,0.3639072563472872
5.0,3.0,0.00022387211385683378,0.0,0.01,0.36408420138657704,0.022434786,0.36408420138657704
5.0,4.0,0.000630957344480193,0.0,0.01,0.3645752695802029,0.022739375,0.3645752695802029
6.0,0.0,9.999999999999999e-06,0.0,0.01,0.24737230149778444,0.035513734,0.24737230149778444
6.0,1.0,2.818382931264455e-05,0.0,0.01,0.247397482380728,0.034839493,0.247397482380728
6.0,2.0,7.943282347242822e-05,0.0,0.01,0.24746391394913841,0.03708719,0.24746391394913841
6.0,3.0,0.00022387211385683378,0.0,0.01,0.24764149747309153,0.040526348,0.24764149747309153
6.0,4.0,0.000630957344480193,0.0,0.01,0.24813050106154008,0.040058125,0.24813050106154008
7.0,0.0,9.999999999999999e-06,0.0,0.01,0.15625558723173363,0.067316615,0.15625558723173363
7.0,1.0,2.818382931264455e-05,0.0,0.01,0.15627937800819788,0.056135311,0.15627937800819788
7.0,2.0,7.943282347242822e-05,0.0,0.01,0.15634459049192886,0.055626499,0.15634459049192886
7.0,3.0,0.00022387211385683378,0.0,0.01,0.15652151953014043,0.057807313,0.15652151953014043
7.0,4.0,0.000630957344480193,0.0,0.01,0.15700961836849367,0.060502564,0.15700961836849367
8.0,0.0,9.999999999999999e-06,0.0,0.01,0.09022407686223131,0.071197429,0.09022407686223131
8.0,1.0,2.818382931264455e-05,0.0,0.01,0.09024845782233461,0.078676373,0.09024845782233461
8.0,2.0,7.943282347242822e-05,0.0,0.01,0.0903134108693012,0.073535141,0.0903134108693012
8.0,3.0,0.00022387211385683378,0.0,0.01,0.09048971438427658,0.077155393,0.09048971438427658
8.0,4.0,0.000630957344480193,0.0,0.01,0.09097676276353468,0.085284774,0.09097676276353468
9.0,0.0,9.999999999999999e-06,0.0,0.01,0.04649896004621643,0.09703392,0.04649896004621643
9.0,1.0,2.818382931264455e-05,0.0,0.01,0.046522501172462045,0.100370267,0.046522501172462045
9.0,2.0,7.943282347242822e-05,0.0,0.01,0.04658699565856496,0.108946664,0.04658699565856496
9.0,3.0,0.00022387211385683378,0.0,0.01,0.04676241275190448,0.105646628,0.04676241275190448
9.0,4.0,0.000630957344480193,0.0,0.01,0.04721397000106105,0.102956185,0.04721397000106105
10.0,0.0,9.999999999999999e-06,0.0,0.01,0.020760648066913707,0.134051322,0.020760648066913707
10.0,1.0,2.818382931264455e-05,0.0,0.01,0.020783926458156094,0.144129951,0.020783926458156094
10.0,2.0,7.943282347242822e-05,0.0,0.01,0.020847876846972962,0.149151101,0.020847876846972962
10.0,3.0,0.00022387211385683378,0.0,0.01,0.02101346496721889,0.142060101,0.02101346496721889
10.0,4.0,0.000630957344480193,0.0,0.01,0.021410456342656817,0.146705151,0.021410456342656817
11.0,0.0,9.999999999999999e-06,0.0,0.01,0.008121041575356553,0.192242465,0.008121041575356553
11.0,1.0,2.818382931264455e-05,0.0,0.01,0.008144245964492357,0.180784504,0.008144245964492357
11.0,2.0,7.943282347242822e-05,0.0,0.01,0.008201878421734254,0.213807899,0.008201878421734254
11.0,3.0,0.00022387211385683378,0.0,0.01,0.008343289990121404,0.210076557,0.008343289990121404
11.0,4.0,0.000630957344480193,0.0,0.01,0.008727011070285446,0.216493629,0.008727011070285446
12.0,0.0,9.999999999999999e-06,0.0,0.01,0.003915654929706322,0.258267768,0.003915654929706322
12.0,1.0,2.818382931264455e-05,0.0,0.01,0.003934753065396015,0.2455483,0.003934753065396015
12.0,2.0,7.943282347242822e-05,0.0,0.01,0.003986066852222026,0.264094801,0.003986066852222026
12.0,3.0,0.00022387211385683378,0.0,0.01,0.004124752861290384,0.285467702,0.004124752861290384
12.0,4.0,0.000630957344480193,0.0,0.01,0.004503227445246835,0.260718306,0.004503227445246835
