K,eps_idx,eps,alpha_idx,alpha,mro_sol,solvetime,dro_feas_sol
21.0,0.0,0.001,0.0,0.01,0.043155337714098053,0.308242984,0.043155337714098053
21.0,1.0,0.002187761623949552,0.0,0.01,0.04401443426273592,0.135896128,0.04401443426273592
21.0,2.0,0.00478630092322638,0.0,0.01,0.04579239870891795,0.14165442,0.04579239870891795
21.0,3.0,0.010471285480508996,0.0,0.01,0.049463456062838175,0.14397239,0.049463456062838175
21.0,4.0,0.022908676527677724,0.0,0.01,0.056739379400583274,0.172237,0.056739379400583274
21.0,5.0,0.05011872336272722,0.0,0.01,0.07041614868323015,0.185762468,0.07041614868323015
22.0,0.0,0.001,0.0,0.01,0.03990662965574637,0.175674463,0.03990662965574637
22.0,1.0,0.002187761623949552,0.0,0.01,0.04075268281808624,0.160494984,0.04075268281808624
22.0,2.0,0.00478630092322638,0.0,0.01,0.04251333961616303,0.169891033,0.04251333961616303
22.0,3.0,0.010471285480508996,0.0,0.01,0.04612661962923001,0.179595043,0.04612661962923001
22.0,4.0,0.022908676527677724,0.0,0.01,0.053205904907382036,0.184477267,0.053205904907382036
22.0,5.0,0.05011872336272722,0.0,0.01,0.06633072409270722,0.20622332,0.06633072409270722
23.0,0.0,0.001,0.0,0.01,0.0370731936070654,0.204004939,0.0370731936070654
23.0,1.0,0.002187761623949552,0.0,0.01,0.037906859907160056,0.199855996,0.037906859907160056
23.0,2.0,0.00478630092322638,0.0,0.01,0.03965268881482796,0.218677487,0.03965268881482796
23.0,3.0,0.010471285480508996,0.0,0.01,0.04321390999652878,0.211699503,0.04321390999652878
23.0,4.0,0.022908676527677724,0.0,0.01,0.050113023085113194,0.22230546,0.050113023085113194
23.0,5.0,0.05011872336272722,0.0,0.01,0.062740686926494,0.265292885,0.062740686926494
24.0,0.0,0.001,0.0,0.01,0.034480526341867365,0.241996031,0.034480526341867365
24.0,1.0,0.002187761623949552,0.0,0.01,0.03530580981656842,0.224386478,0.03530580981656842
24.0,2.0,0.00478630092322638,0.0,0.01,0.03703745654994877,0.239245651,0.03703745654994877
24.0,3.0,0.010471285480508996,0.0,0.01,0.040551201030910165,0.228273927,0.040551201030910165
24.0,4.0,0.022908676527677724,0.0,0.01,0.04729169767189757,0.259395342,0.04729169767189757
24.0,5.0,0.05011872336272722,0.0,0.01,0.05948911944872489,0.301841783,0.05948911944872489
25.0,0.0,0.001,0.0,0.01,0.03203463443216923,0.249123661,0.03203463443216923
25.0,1.0,0.002187761623949552,0.0,0.01,0.032853898053556096,0.240587545,0.032853898053556096
25.0,2.0,0.00478630092322638,0.0,0.01,0.034571424874404545,0.264393613,0.034571424874404545
25.0,3.0,0.010471285480508996,0.0,0.01,0.038039983484301224,0.25085098,0.038039983484301224
25.0,4.0,0.022908676527677724,0.0,0.01,0.04464117782803079,0.294286218,0.04464117782803079
25.0,5.0,0.05011872336272722,0.0,0.01,0.056476346165034094,0.308272215,0.056476346165034094
26.0,0.0,0.001,0.0,0.01,0.02969695941301465,0.284208082,0.02969695941301465
26.0,1.0,0.002187761623949552,0.0,0.01,0.030511343377400395,0.290726457,0.030511343377400395
26.0,2.0,0.00478630092322638,0.0,0.01,0.03221458547172993,0.30431366,0.03221458547172993
26.0,3.0,0.010471285480508996,0.0,0.01,0.0356388901239918,0.320035227,0.0356388901239918
26.0,4.0,0.022908676527677724,0.0,0.01,0.04211552475194189,0.355956709,0.04211552475194189
26.0,5.0,0.05011872336272722,0.0,0.01,0.05364200720935495,0.357963443,0.05364200720935495
27.0,0.0,0.001,0.0,0.01,0.027463400847980858,0.329479034,0.027463400847980858
27.0,1.0,0.002187761623949552,0.0,0.01,0.028273496664205332,0.340371165,0.028273496664205332
27.0,2.0,0.00478630092322638,0.0,0.01,0.029962310453172044,0.352324095,0.029962310453172044
27.0,3.0,0.010471285480508996,0.0,0.01,0.03334197617373381,0.364376264,0.03334197617373381
27.0,4.0,0.022908676527677724,0.0,0.01,0.03970261737713766,0.411301103,0.03970261737713766
27.0,5.0,0.05011872336272722,0.0,0.01,0.050954815061073015,0.400650043,0.050954815061073015
28.0,0.0,0.001,0.0,0.01,0.02534625574247817,0.365344626,0.02534625574247817
28.0,1.0,0.002187761623949552,0.0,0.01,0.026152544435089894,0.360282587,0.026152544435089894
28.0,2.0,0.00478630092322638,0.0,0.01,0.027826820029615014,0.37529707,0.027826820029615014
28.0,3.0,0.010471285480508996,0.0,0.01,0.031161131668887048,0.424578506,0.031161131668887048
28.0,4.0,0.022908676527677724,0.0,0.01,0.037407667718910506,0.471645925,0.037407667718910506
28.0,5.0,0.05011872336272722,0.0,0.01,0.048404726554075475,0.498767813,0.048404726554075475
29.0,0.0,0.001,0.0,0.01,0.0233613604276783,0.472405511,0.0233613604276783
29.0,1.0,0.002187761623949552,0.0,0.01,0.024164093240663702,0.435466836,0.024164093240663702
29.0,2.0,0.00478630092322638,0.0,0.01,0.025823979333138784,0.446152692,0.025823979333138784
29.0,3.0,0.010471285480508996,0.0,0.01,0.02911214474919404,0.452195214,0.02911214474919404
29.0,4.0,0.022908676527677724,0.0,0.01,0.035242157936569526,0.519486619,0.035242157936569526
29.0,5.0,0.05011872336272722,0.0,0.01,0.045990255223118226,0.568012969,0.045990255223118226
30.0,0.0,0.001,0.0,0.01,0.021520705335849773,0.421777276,0.021520705335849773
30.0,1.0,0.002187761623949552,0.0,0.01,0.0223199329328363,0.444696176,0.0223199329328363
30.0,2.0,0.00478630092322638,0.0,0.01,0.023965440501105533,0.443404238,0.023965440501105533
30.0,3.0,0.010471285480508996,0.0,0.01,0.027207075208663577,0.470887993,0.027207075208663577
30.0,4.0,0.022908676527677724,0.0,0.01,0.033215884663605866,0.502455988,0.033215884663605866
30.0,5.0,0.05011872336272722,0.0,0.01,0.04371143368116317,0.581942545,0.04371143368116317
31.0,0.0,0.001,0.0,0.01,0.01983008361064595,1.134901101,0.01983008361064595
31.0,1.0,0.002187761623949552,0.0,0.01,0.020625599408740765,1.168795471,0.020625599408740765
31.0,2.0,0.00478630092322638,0.0,0.01,0.022256655775996597,0.855551426,0.022256655775996597
31.0,3.0,0.010471285480508996,0.0,0.01,0.02545143285016723,0.966034851,0.02545143285016723
31.0,4.0,0.022908676527677724,0.0,0.01,0.03133343451975308,1.124582649,0.03133343451975308
31.0,5.0,0.05011872336272722,0.0,0.01,0.04156821436236725,1.078021105,0.04156821436236725
32.0,0.0,0.001,0.0,0.01,0.01828955534492068,0.92728472,0.01828955534492068
32.0,1.0,0.002187761623949552,0.0,0.01,0.01908094177501057,0.943250324,0.01908094177501057
32.0,2.0,0.00478630092322638,0.0,0.01,0.02069711571534644,0.971804672,0.02069711571534644
32.0,3.0,0.010471285480508996,0.0,0.01,0.023844246911082816,0.851217342,0.023844246911082816
32.0,4.0,0.022908676527677724,0.0,0.01,0.02959394143237719,1.113842844,0.02959394143237719
32.0,5.0,0.05011872336272722,0.0,0.01,0.03956074586076927,1.231992948,0.03956074586076927
