K,eps_idx,eps,alpha_idx,alpha,mro_sol,solvetime,dro_feas_sol
17.0,0.0,0.001,0.0,0.01,0.48053345450668605,0.704819114,0.48053345450668605
17.0,0.0,0.001,1.0,0.05,0.4399964124622486,0.299713157,0.4399964124622486
17.0,1.0,0.002187761623949552,0.0,0.01,0.532528183161452,0.398441872,0.532528183161452
17.0,1.0,0.002187761623949552,1.0,0.05,0.45292745608018936,0.584972998,0.45292745608018936
17.0,2.0,0.00478630092322638,0.0,0.01,0.6332546029129287,0.491799731,0.6332546029129287
17.0,2.0,0.00478630092322638,1.0,0.05,0.4785311424446351,0.319075302,0.4785311424446351
17.0,3.0,0.010471285480508996,0.0,0.01,0.8282724152422429,0.624598893,0.8282724152422429
17.0,3.0,0.010471285480508996,1.0,0.05,0.5286310751158088,0.298010938,0.5286310751158088
17.0,4.0,0.022908676527677724,0.0,0.01,1.204518557106502,0.631051258,1.204518557106502
17.0,4.0,0.022908676527677724,1.0,0.05,0.6257223997813051,0.664734021,0.6257223997813051
17.0,5.0,0.05011872336272722,0.0,0.01,1.7862223863503361,1.022150067,1.7862223863503361
17.0,5.0,0.05011872336272722,1.0,0.05,0.813631940772316,0.484392736,0.813631940772316
18.0,0.0,0.001,0.0,0.01,0.4448366039776839,0.665920916,0.4448366039776839
18.0,0.0,0.001,1.0,0.05,0.40533495073763054,0.687344742,0.40533495073763054
18.0,1.0,0.002187761623949552,0.0,0.01,0.4952996757110688,0.450579999,0.4952996757110688
18.0,1.0,0.002187761623949552,1.0,0.05,0.4179502193169387,0.352881567,0.4179502193169387
18.0,2.0,0.00478630092322638,0.0,0.01,0.5927736139020597,0.586784365,0.5927736139020597
18.0,2.0,0.00478630092322638,1.0,0.05,0.44288530012555194,0.465674348,0.44288530012555194
18.0,3.0,0.010471285480508996,0.0,0.01,0.7814478398795877,0.87090257,0.7814478398795877
18.0,3.0,0.010471285480508996,1.0,0.05,0.4915184158176606,0.363004061,0.4915184158176606
18.0,4.0,0.022908676527677724,0.0,0.01,1.1435916051494035,0.644161064,1.1435916051494035
18.0,4.0,0.022908676527677724,1.0,0.05,0.5854871986007184,0.511560966,0.5854871986007184
18.0,5.0,0.05011872336272722,0.0,0.01,1.6928319025492642,0.684382113,1.6928319025492642
18.0,5.0,0.05011872336272722,1.0,0.05,0.7672753594473932,0.774099522,0.7672753594473932
19.0,0.0,0.001,0.0,0.01,0.4133420502623226,0.434698702,0.4133420502623226
19.0,0.0,0.001,1.0,0.05,0.3748096510218023,0.371147312,0.3748096510218023
19.0,1.0,0.002187761623949552,0.0,0.01,0.46237283903793264,0.611331721,0.46237283903793264
19.0,1.0,0.002187761623949552,1.0,0.05,0.38713029987179437,0.552519368,0.38713029987179437
19.0,2.0,0.00478630092322638,0.0,0.01,0.5568491928909591,0.58438725,0.5568491928909591
19.0,2.0,0.00478630092322638,1.0,0.05,0.41144189052110297,0.437236729,0.41144189052110297
19.0,3.0,0.010471285480508996,0.0,0.01,0.7396929020492922,0.344753307,0.7396929020492922
19.0,3.0,0.010471285480508996,1.0,0.05,0.45870781084273327,0.275682181,0.45870781084273327
19.0,4.0,0.022908676527677724,0.0,0.01,1.0884991709757716,0.362369878,1.0884991709757716
19.0,4.0,0.022908676527677724,1.0,0.05,0.5497867127908764,0.300887329,0.5497867127908764
19.0,5.0,0.05011872336272722,0.0,0.01,1.6082430603768785,0.43542124,1.6082430603768785
19.0,5.0,0.05011872336272722,1.0,0.05,0.7259563394755791,0.300110817,0.7259563394755791
20.0,0.0,0.001,0.0,0.01,0.38539339261465566,0.320824571,0.38539339261465566
20.0,0.0,0.001,1.0,0.05,0.34776290522649767,0.261391651,0.34776290522649767
20.0,1.0,0.002187761623949552,0.0,0.01,0.43309053736339603,0.351130498,0.43309053736339603
20.0,1.0,0.002187761623949552,1.0,0.05,0.35981075219892056,0.268677742,0.35981075219892056
20.0,2.0,0.00478630092322638,0.0,0.01,0.5247776156124447,0.379680693,0.5247776156124447
20.0,2.0,0.00478630092322638,1.0,0.05,0.38354193438501677,0.278619741,0.38354193438501677
20.0,3.0,0.010471285480508996,0.0,0.01,0.7022419631904604,0.383853868,0.7022419631904604
20.0,3.0,0.010471285480508996,1.0,0.05,0.42953276118123784,0.310350335,0.42953276118123784
20.0,4.0,0.022908676527677724,0.0,0.01,1.0384451112777453,0.429325478,1.0384451112777453
20.0,4.0,0.022908676527677724,1.0,0.05,0.517934687599688,0.32260073,0.517934687599688
20.0,5.0,0.05011872336272722,0.0,0.01,1.5314102481384395,0.49663419,1.5314102481384395
20.0,5.0,0.05011872336272722,1.0,0.05,0.6889066412218297,0.328480279,0.6889066412218297
21.0,0.0,0.001,0.0,0.01,0.360459032266193,0.379315558,0.360459032266193
21.0,0.0,0.001,1.0,0.05,0.3236748838181728,0.324667505,0.3236748838181728
21.0,1.0,0.002187761623949552,0.0,0.01,0.4069081993231288,0.418489306,0.4069081993231288
21.0,1.0,0.002187761623949552,1.0,0.05,0.33546965635091824,0.311802805,0.33546965635091824
21.0,2.0,0.00478630092322638,0.0,0.01,0.4960116777580207,0.42619617,0.4960116777580207
21.0,2.0,0.00478630092322638,1.0,0.05,0.35865204460348266,0.368090638,0.35865204460348266
21.0,3.0,0.010471285480508996,0.0,0.01,0.6684905775572294,0.462310275,0.6684905775572294
21.0,3.0,0.010471285480508996,1.0,0.05,0.40344703363088247,0.351235172,0.40344703363088247
21.0,4.0,0.022908676527677724,0.0,0.01,0.9927517505334065,0.475774495,0.9927517505334065
21.0,4.0,0.022908676527677724,1.0,0.05,0.4893603112072117,0.356827693,0.4893603112072117
21.0,5.0,0.05011872336272722,0.0,0.01,1.4612522122036589,0.590411943,1.4612522122036589
21.0,5.0,0.05011872336272722,1.0,0.05,0.6555191267360168,0.371396151,0.6555191267360168
22.0,0.0,0.001,0.0,0.01,0.3381034707007635,0.423812556,0.3381034707007635
22.0,0.0,0.001,1.0,0.05,0.3021209384061222,0.332579157,0.3021209384061222
22.0,1.0,0.002187761623949552,0.0,0.01,0.38338173940093717,0.448969671,0.38338173940093717
22.0,1.0,0.002187761623949552,1.0,0.05,0.3136763581195591,0.348481783,0.3136763581195591
22.0,2.0,0.00478630092322638,0.0,0.01,0.4700740056865118,0.51152901,0.4700740056865118
22.0,2.0,0.00478630092322638,1.0,0.05,0.33634264156792826,0.374197977,0.33634264156792826
22.0,3.0,0.010471285480508996,0.0,0.01,0.6379268456677383,0.499547449,0.6379268456677383
22.0,3.0,0.010471285480508996,1.0,0.05,0.3800081359534085,0.41066961,0.3800081359534085
22.0,4.0,0.022908676527677724,0.0,0.01,0.9508593787673695,0.544054826,0.9508593787673695
22.0,4.0,0.022908676527677724,1.0,0.05,0.46360649468091336,0.42356491,0.46360649468091336
22.0,5.0,0.05011872336272722,0.0,0.01,1.3969597317514997,0.632176469,1.3969597317514997
22.0,5.0,0.05011872336272722,1.0,0.05,0.6253036646724517,0.455107955,0.6253036646724517
23.0,0.0,0.001,0.0,0.01,0.3179677564544012,0.592899397,0.3179677564544012
23.0,0.0,0.001,1.0,0.05,0.2827495017736565,0.439226102,0.2827495017736565
23.0,1.0,0.002187761623949552,0.0,0.01,0.3621482482217555,0.636310063,0.3621482482217555
23.0,1.0,0.002187761623949552,1.0,0.05,0.2940766790921957,0.45579749,0.2940766790921957
23.0,2.0,0.00478630092322638,0.0,0.01,0.4465940597256412,0.616776502,0.4465940597256412
23.0,2.0,0.00478630092322638,1.0,0.05,0.31624919529072093,0.472848477,0.31624919529072093
23.0,3.0,0.010471285480508996,0.0,0.01,0.6101295257985363,0.638823773,0.6101295257985363
23.0,3.0,0.010471285480508996,1.0,0.05,0.35886394064369825,0.493788429,0.35886394064369825
23.0,4.0,0.022908676527677724,0.0,0.01,0.9123063344693063,0.682264768,0.9123063344693063
23.0,4.0,0.022908676527677724,1.0,0.05,0.44029188476466025,0.613837427,0.44029188476466025
23.0,5.0,0.05011872336272722,0.0,0.01,1.3378774993878748,0.985021437,1.3378774993878748
23.0,5.0,0.05011872336272722,1.0,0.05,0.597823220450561,0.91087939,0.597823220450561
24.0,0.0,0.001,0.0,0.01,0.2997701895961815,1.6678963169999999,0.2997701895961815
24.0,0.0,0.001,1.0,0.05,0.26527243189663824,1.2421013890000001,0.26527243189663824
24.0,1.0,0.002187761623949552,0.0,0.01,0.3429065481460843,0.901952203,0.3429065481460843
24.0,1.0,0.002187761623949552,1.0,0.05,0.27637786918336227,1.390916657,0.27637786918336227
24.0,2.0,0.00478630092322638,0.0,0.01,0.42524326554329783,1.2397598109999999,0.42524326554329783
24.0,2.0,0.00478630092322638,1.0,0.05,0.2980843605034061,1.070112787,0.2980843605034061
24.0,3.0,0.010471285480508996,0.0,0.01,0.5847531384900955,1.22444745,0.5847531384900955
24.0,3.0,0.010471285480508996,1.0,0.05,0.33969950191186626,1.298660181,0.33969950191186626
24.0,4.0,0.022908676527677724,0.0,0.01,0.8767068297544656,1.318124945,0.8767068297544656
24.0,4.0,0.022908676527677724,1.0,0.05,0.4191000879017052,0.922238229,0.4191000879017052
24.0,5.0,0.05011872336272722,0.0,0.01,1.283380962947531,1.6236225960000001,1.283380962947531
24.0,5.0,0.05011872336272722,1.0,0.05,0.5727372505152878,1.051225012,0.5727372505152878
25.0,0.0,0.001,0.0,0.01,0.2832471832567588,1.112584871,0.2832471832567588
25.0,0.0,0.001,1.0,0.05,0.2494386457861332,1.282069349,0.2494386457861332
25.0,1.0,0.002187761623949552,0.0,0.01,0.32540088207341106,1.447933052,0.32540088207341106
25.0,1.0,0.002187761623949552,1.0,0.05,0.26034123842222473,1.073467013,0.26034123842222473
25.0,2.0,0.00478630092322638,0.0,0.01,0.40576338963782227,0.955161378,0.40576338963782227
25.0,2.0,0.00478630092322638,1.0,0.05,0.28160092074287674,1.0379956909999999,0.28160092074287674
25.0,3.0,0.010471285480508996,0.0,0.01,0.5615016891734312,1.298886806,0.5615016891734312
25.0,3.0,0.010471285480508996,1.0,0.05,0.3222780935754668,0.723451265,0.3222780935754668
25.0,4.0,0.022908676527677724,0.0,0.01,0.843723548358353,0.964695344,0.843723548358353
25.0,4.0,0.022908676527677724,1.0,0.05,0.3997678006269981,0.725540305,0.3997678006269981
25.0,5.0,0.05011872336272722,0.0,0.01,1.2329438526385086,0.99198459,1.2329438526385086
25.0,5.0,0.05011872336272722,1.0,0.05,0.5497653938911563,0.71192823,0.5497653938911563
26.0,0.0,0.001,0.0,0.01,0.26820953044481316,1.480737231,0.26820953044481316
26.0,0.0,0.001,1.0,0.05,0.2350549990272535,0.736041861,0.2350549990272535
26.0,1.0,0.002187761623949552,0.0,0.01,0.3094265091038434,0.900805854,0.3094265091038434
26.0,1.0,0.002187761623949552,1.0,0.05,0.24575635716977073,0.798779396,0.24575635716977073
26.0,2.0,0.00478630092322638,0.0,0.01,0.3879276389198149,0.949691713,0.3879276389198149
26.0,2.0,0.00478630092322638,1.0,0.05,0.2665918511195793,0.782667522,0.2665918511195793
26.0,3.0,0.010471285480508996,0.0,0.01,0.5400784850208601,0.966347969,0.5400784850208601
26.0,3.0,0.010471285480508996,1.0,0.05,0.3063703607619008,0.803271634,0.3063703607619008
