K,eps_idx,eps,alpha_idx,alpha,mro_sol,solvetime,dro_feas_sol
1.0,0.0,0.001,0.0,0.01,1.5209680215212062,0.757373766,1.5209680215212062
1.0,0.0,0.001,1.0,0.05,1.1785541098090615,0.737986673,1.1785541098090615
1.0,1.0,0.0017782794100389228,0.0,0.01,1.596266329060862,0.729980471,1.596266329060862
1.0,1.0,0.0017782794100389228,1.0,0.05,1.1950271031709156,0.697744156,1.1950271031709156
1.0,2.0,0.0031622776601683794,0.0,0.01,1.7233383668451585,0.696758152,1.7233383668451585
1.0,2.0,0.0031622776601683794,1.0,0.05,1.2234444129390143,0.697994987,1.2234444129390143
1.0,3.0,0.005623413251903491,0.0,0.01,1.9348349632021091,0.759467955,1.9348349632021091
1.0,3.0,0.005623413251903491,1.0,0.05,1.2720402107918185,0.697784099,1.2720402107918185
1.0,4.0,0.01,0.0,0.01,2.2958689929958314,0.622998679,2.2958689929958314
1.0,4.0,0.01,1.0,0.05,1.3549632682967976,0.702957579,1.3549632682967976
1.0,5.0,0.01778279410038923,0.0,0.01,2.9256069090854218,0.62557656,2.9256069090854218
1.0,5.0,0.01778279410038923,1.0,0.05,1.4951999948352,0.662296409,1.4951999948352
1.0,6.0,0.03162277660168379,0.0,0.01,3.900950349977789,0.721719827,3.900950349977789
1.0,6.0,0.03162277660168379,1.0,0.05,1.7386759182686866,0.707666237,1.7386759182686866
1.0,7.0,0.056234132519034905,0.0,0.01,5.199595392412883,0.686023229,5.199595392412883
1.0,7.0,0.056234132519034905,1.0,0.05,2.1517867031472164,0.732634965,2.1517867031472164
1.0,8.0,0.1,0.0,0.01,7.116690154056099,0.591287001,7.116690154056099
1.0,8.0,0.1,1.0,0.05,2.8262952255315463,0.698842385,2.8262952255315463
2.0,0.0,0.001,0.0,0.01,1.2971224120553357,1.423211035,1.2971224120553357
2.0,0.0,0.001,1.0,0.05,1.0005724578313286,1.441803256,1.0005724578313286
2.0,1.0,0.0017782794100389228,0.0,0.01,1.362188267952305,1.4359395990000001,1.362188267952305
2.0,1.0,0.0017782794100389228,1.0,0.05,1.0162412570616493,1.369730063,1.0162412570616493
2.0,2.0,0.0031622776601683794,0.0,0.01,1.4672624263588196,1.335432823,1.4672624263588196
2.0,2.0,0.0031622776601683794,1.0,0.05,1.0423700715956628,1.3027461790000001,1.0423700715956628
2.0,3.0,0.005623413251903491,0.0,0.01,1.6410934096519791,1.354126038,1.6410934096519791
2.0,3.0,0.005623413251903491,1.0,0.05,1.085118239118101,1.489604125,1.085118239118101
2.0,4.0,0.01,0.0,0.01,1.9351549310760867,1.405509749,1.9351549310760867
2.0,4.0,0.01,1.0,0.05,1.1540144302370083,1.297736523,1.1540144302370083
2.0,5.0,0.01778279410038923,0.0,0.01,2.4447192515135527,1.217924952,2.4447192515135527
2.0,5.0,0.01778279410038923,1.0,0.05,1.2674864838426465,1.404743907,1.2674864838426465
2.0,6.0,0.03162277660168379,0.0,0.01,3.220039601989892,1.565443155,3.220039601989892
2.0,6.0,0.03162277660168379,1.0,0.05,1.4607146403524243,1.395186596,1.4607146403524243
2.0,7.0,0.056234132519034905,0.0,0.01,4.15819071721797,1.505832171,4.15819071721797
2.0,7.0,0.056234132519034905,1.0,0.05,1.7947740174119542,1.342689676,1.7947740174119542
