k,l2o,ldro_pep,lpep,l2o_alista
1,51.21348178229817,65.47387889785836,50.80918649287978,50.47344951918079
2,25.460202460832118,66.45405143509473,30.714252798142915,29.844380492046202
3,19.104146580566212,35.90496185137992,23.255436570722523,22.01359675814005
4,16.60909680725538,17.457434812916993,18.96169084938001,17.888219529982763
5,18.790439643261227,14.501451171268506,16.215016759736738,15.067385947891504
6,26.253081400375905,8.917484170357046,13.984577480390442,12.905713226235164
7,62.93915818021507,7.926435989514685,11.989686773417526,11.156311564328416
8,203.22248819269652,5.964875591423099,10.436362125798258,9.702532616632057
9,846.5267260788886,5.082734625349171,9.498964773950759,8.472905003412345
10,3761.990594225569,3.746491076838373,8.676478871005154,7.419220757860256
11,16862.054050673818,2.3971700868322925,7.946809503210913,6.506906178750204
12,73577.10067740905,1.4754639571620398,6.970130441755604,5.711302240401498
13,306427.03871699446,0.875330960483884,6.150259192964441,5.014494068839445
