k,l2o,ldro_pep,lpep,l2o_alista
1,23.18366422168725,21.852326786399797,23.005685082062218,22.174458301700437
2,10.693300625938754,11.064490518962163,13.376264373389343,13.33716058569228
3,6.651152764228223,6.705533409077528,10.004653436933454,9.707057140136351
4,4.353318076654922,5.734272638337522,7.879479970454387,7.6161578210946725
5,2.936083568862216,4.144613390521733,6.482916746140657,6.121471922829356
6,1.981630123436289,3.669645549030706,5.2843410872019785,4.9821893453127215
7,1.3660767367811715,3.40800570282182,4.6061315153064575,4.085073025326193
8,0.9298404702387868,2.8890573282090175,3.883244172069607,3.3645893193709107
9,0.6473166990487232,2.1500416812470684,3.2246981373451473,2.77879665809374
10,0.44401870565199075,1.6462506102374492,2.6987605357945297,2.298779573825893
11,0.3108144524416415,1.0858750825228591,2.347116520277183,1.9031532258737136
12,0.21696164181287259,0.6690369754681346,2.049224988077632,1.5759142615779032
13,0.15407386992140004,0.3689016036017589,1.7867926996832821,1.3048061130784738
14,0.11065954903215747,0.19011039552551273,1.5446551563349573,1.0801336657582454
15,0.08066918721223232,0.09101768720677746,1.3238188986874138,0.8937925275514813
