tau,sigma,theta
0.09935002534028553,0.10319502645957007,0.9939764881235575
0.09935001933840533,0.10319642382350744,0.9939760423227608
0.09935015472289993,0.10319961864962665,0.9939759000943093
0.09935049434302395,0.1032133451596784,0.9939760166560627
0.09936258414259123,0.0993949715027184,0.9939972728069203
0.10318960096041661,0.09932408358417785,0.9939158877222345
0.10318925038266108,0.10319048382321513,1.0060559752261984
0.10318482697568085,0.10318567556554083,1.0060370678533075
0.10317968917121949,0.10317924932336983,1.0060157528630589
0.10317416275643045,0.10317266304079652,1.0059947626651355
