iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6,tau_7,sigma_7,theta_7,tau_8,sigma_8,theta_8
0,32.54684958760732,10.808352986771636,65.13624503603205,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,33.55864383758368,10.808172115441833,168.5627255239524,156626.22118462317,9.999999999999159e-07,0.10126335863257914,0.10126335863213558,0.9999979999680891,0.1012620857509058,0.10126335863245188,0.9999979999674826,0.1012633586327011,0.10126335863266923,1.000001999991202,0.10126208575086175,0.10126335863267072,0.9999979999661628,0.10126335863268796,0.10126335863249092,1.000001999995023,0.10126335863230145,0.10126335863255423,0.9999979999677747,0.10126335863250877,0.10126335863266046,1.000001999982103,0.10126335863263566,0.10126335863263292,0.9999979999716754,0.10126335863267492,0.10126335862943946,1.0000019999953236
2,33.467975459190114,10.635578285633924,167.1016398530919,162046.17447067978,0.001,0.10188829908511289,0.10189842239143472,0.9979987840745952,0.10062601330925115,0.10190149495488918,0.9979966850853177,0.10190112435927527,0.10190113242994284,1.0018879603936175,0.1006267289489696,0.10190044288833132,0.9979979667378571,0.10189930501403717,0.10190101884518325,1.001969404121192,0.1018971083167305,0.10189823933842407,0.9980004306891941,0.10190075870485958,0.10190018204370498,1.001933414165041,0.1018978881394458,0.10189741236584746,0.9980049090018422,0.10189915849094683,0.10097776596902237,1.0020015561612436
3,34.94858565006224,10.472765827677584,20.53922240086831,152209.09044758405,0.0009698764640825613,0.10250278242813542,0.10251230292930807,0.9960578320814603,0.1000109551644194,0.10252338331665818,0.9960589690496043,0.10251970775994994,0.1025215931754948,1.003602514425293,0.10001100195427641,0.1025202105825429,0.9960560148885514,0.10251805096549883,0.10252285727557178,1.0038781227321683,0.10251444238002565,0.10251551188255577,0.9960596183764515,0.10250685097533067,0.10251683364645171,1.0036728934389,0.10251397927563148,0.10251391539713736,0.9960699272598842,0.10251769336856238,0.10056410949639731,1.0039461469133113
4,31.65807870301851,10.328984156334043,18.978581522824243,147356.5426179623,0.0008831391993379295,0.10306807485502698,0.1030305650086685,0.9943003449487728,0.0994515287121679,0.10309322713319062,0.9942990849831448,0.10308571778633704,0.10308424038745882,1.00518840942522,0.09945270046562169,0.10308130360217319,0.9942939746280839,0.10308267450466127,0.10306826798694305,1.0056354701690056,0.10302479368827536,0.10307837610346897,0.994295253629182,0.10306559146045796,0.10308149561625997,1.0052967558912502,0.10307920994311459,0.10307647770246751,0.9944929620646402,0.10308023876852412,0.10060905186113857,1.0057178777769438
5,35.245212506217854,10.207057715238989,21.264902571914718,164685.99328190018,0.0007502499999999999,0.10353217433507071,0.10348335793185388,0.9928011849018421,0.09897781886541639,0.10356342347685353,0.9928086253742556,0.10356714660617088,0.10356565851600878,1.0063373933414121,0.09897899644640026,0.10356288069328261,0.9927948649079832,0.10356099403744902,0.10353752863753929,1.0070933015664387,0.10347638420608372,0.10355780070350831,0.9928044378988762,0.1035381388998372,0.10356185593312911,1.0066567680089926,0.10355960417623479,0.10355298680727464,0.993099696480179,0.10356146308432089,0.10036714533991431,1.007225719152605
6,33.220974466407945,10.108991275262873,20.859169461065903,144002.85429268042,0.0005872372647446318,0.1038925283215512,0.10384654052306914,0.9916230284931332,0.09860699544583096,0.10393476151794684,0.9916433456502192,0.10394307498913292,0.10394510336066073,1.0068840948249367,0.0986083565005643,0.10394275766651251,0.9916204377876214,0.10393792167933741,0.10390977511499701,1.0082514133663814,0.10382944587401756,0.10393483421877421,0.9916371901769316,0.10390818842536349,0.10394080653952295,1.0077215924093024,0.10393814178393436,0.10392833423603617,0.9919821771442343,0.10394073900926021,0.10014921360718887,1.0084099335834262
7,32.063783021446255,10.040451349332011,19.89855518611148,153806.1605253243,0.00041376273525536834,0.10414449475881009,0.10410066324676537,0.9907904067342127,0.09834557906229399,0.10419904121391348,0.9908218234892275,0.10420935577502706,0.10421197814747302,1.0073003909300278,0.09834864184639278,0.1042099676619758,0.9907970746952282,0.10420394710988294,0.10416869111181394,1.0090742424655186,0.10407725532673383,0.10419978743067382,0.9908193288172401,0.10416836359432471,0.10420866888904375,1.008480768120202,0.10420604886132434,0.10419177185716948,0.9912245120109201,0.10420792044107606,0.09999150157228319,1.0092442300164204
8,32.47471006119456,9.99784716675895,20.636931191198528,139904.0635609776,0.0002507500000000001,0.104295582085037,0.10425574046187507,0.9902845087743525,0.09818682898155397,0.1043601171764937,0.9903242163388318,0.10437007838151414,0.10437452330932998,1.007427289202958,0.09819099725759764,0.10437299410981775,0.9902974544366617,0.10436617212797517,0.10432714369778112,1.0095794914786023,0.10422330465215142,0.10436117254572647,0.9903237924860412,0.10432347174168326,0.10437190695791916,1.0089295044646052,0.10436901862222513,0.10435248407715486,0.9907539879252785,0.10437055540125582,0.09990016595140519,1.0097504749622643
9,32.45308706109371,9.978117786335684,19.410388151882216,153722.63438154286,0.00011786080066207054,0.1043672151877301,0.10432750519196307,0.9900465663591124,0.09811228002784077,0.104435497682776,0.9900901009037598,0.10444588327360202,0.10445043942819048,1.0074643112020834,0.09811703163701121,0.10444920340596599,0.9900627456243903,0.10444233030651648,0.10440138941366855,1.0098164214307044,0.10429284111712496,0.10443667576900222,0.9900913507328112,0.10439700176479537,0.10444838050519557,1.0091442207744268,0.10444555378333596,0.1044279798404941,0.9905345230800365,0.10444690296492856,0.09985993903896909,1.0099885627423877
10,32.26408401130741,9.972722973715292,20.984988714801148,146762.38015226502,3.11235359174388e-05,0.10438581592195696,0.10434677142098212,0.9899832636515202,0.09809253385865939,0.10445548031120187,0.990028004929764,0.1044658846745222,0.10447050706935748,1.007455044658344,0.09809746843017014,0.10446935174031337,0.9900005782245075,0.10446240396414905,0.1044211970676412,1.009878183473824,0.10431177413565161,0.1044565840956638,0.9900300481788411,0.10441664741735006,0.10446857270745848,1.009202758764696,0.10446581306711991,0.10444774897368908,0.9904779780308521,0.10446703175224485,0.09984691585117147,1.0100514801193248
