Framework,K,IDmean,IDq10,IDmed,IDq90,OODmean,OODq10,OODmed,OODq90
L2O,1,8.93e1,8.07e1,8.66e1,9.92e1,4.47e2,3.14e2,4.23e2,5.84e2
,2,7.05e1,6.29e1,6.86e1,7.86e1,3.54e2,2.38e2,3.30e2,4.78e2
,3,4.00e1,3.55e1,3.90e1,4.47e1,2.17e2,1.34e2,1.97e2,3.20e2
,4,1.57e1,1.29e1,1.57e1,1.84e1,1.06e2,4.53e1,8.53e1,1.97e2
,5,6.00e0,5.06e0,5.96e0,7.33e0,7.33e1,2.91e1,5.66e1,1.43e2
,6,4.42e0,3.73e0,4.40e0,5.39e0,7.22e1,2.42e1,5.15e1,1.51e2
,7,5.62e0,4.79e0,5.62e0,6.72e0,7.37e1,2.81e1,5.56e1,1.48e2
,8,3.33e0,2.94e0,3.37e0,3.66e0,5.87e1,1.81e1,3.95e1,1.29e2
,9,3.99e0,3.51e0,4.02e0,4.37e0,5.80e1,2.00e1,4.15e1,1.22e2
,10,8.25e0,7.06e0,8.31e0,9.52e0,7.49e1,3.49e1,6.19e1,1.33e2
DR-L2O,1,9.93e1,9.21e1,9.74e1,1.08e2,5.17e2,3.66e2,4.96e2,6.72e2
,2,6.93e1,5.94e1,6.81e1,7.94e1,3.29e2,2.02e2,2.85e2,4.47e2
,3,4.49e1,3.41e1,4.51e1,5.54e1,1.95e2,7.18e1,1.49e2,3.23e2
,4,1.96e1,1.66e1,1.95e1,2.26e1,1.22e2,5.79e1,1.00e2,2.14e2
,5,8.11e0,6.72e0,8.02e0,1.01e1,9.08e1,3.87e1,7.16e1,1.67e2
,6,6.56e0,5.61e0,6.56e0,7.70e0,7.45e1,3.11e1,5.84e1,1.45e2
,7,5.24e0,4.59e0,5.28e0,5.80e0,6.33e1,2.48e1,4.81e1,1.27e2
,8,4.21e0,3.76e0,4.24e0,4.61e0,5.33e1,2.15e1,4.08e1,1.06e2
,9,3.37e0,2.99e0,3.41e0,3.70e0,4.47e1,1.92e1,3.48e1,8.63e1
,10,3.03e0,2.65e0,3.06e0,3.35e0,3.86e1,1.71e1,3.11e1,7.11e1
OPT-PEP,1,1.10e2,1.03e2,1.08e2,1.18e2,5.88e2,4.16e2,5.45e2,7.58e2
,2,8.96e1,8.32e1,8.79e1,9.69e1,4.77e2,3.37e2,4.50e2,6.29e2
,3,6.89e1,6.23e1,6.69e1,7.64e1,3.59e2,2.49e2,3.46e2,4.89e2
,4,4.93e1,4.50e1,4.82e1,5.42e1,2.76e2,1.87e2,2.60e2,3.96e2
,5,3.34e1,2.96e1,3.26e1,3.74e1,1.90e2,1.14e2,1.71e2,2.86e2
,6,2.29e1,2.07e1,2.23e1,2.52e1,1.46e2,8.31e1,1.23e2,2.40e2
,7,1.24e1,1.13e1,1.24e1,1.37e1,1.14e2,5.91e1,8.84e1,1.93e2
,8,8.76e0,7.11e0,8.60e0,1.10e1,9.93e1,4.23e1,8.04e1,1.77e2
,9,7.80e0,6.56e0,7.74e0,9.58e0,8.73e1,3.71e1,6.88e1,1.64e2
,10,7.10e0,6.04e0,7.10e0,8.48e0,7.96e1,3.35e1,6.26e1,1.53e2
