k,l2o_t,ldro_pep_t,lpep_t
1,0.1432088104551244,0.1657234951770461,0.1481721067840194
2,0.2367731551922321,0.1111845300854189,0.1455698307083959
3,0.1089573741915235,0.735600642084946,0.1467695842112447
4,0.495992250831402,0.2636765312845158,0.1418376324281035
5,0.1534280262603418,0.1054333020953658,0.1431837855338333
6,0.1025847120096553,0.3045062849688161,0.1509005458635598
7,0.6153144732981338,0.1575844980818757,0.1422282106790592
8,0.2949748966729751,0.2780196957319274,0.1319696057170779
9,0.1569463084652617,0.2614369552634276,0.1324724800255081
10,0.1418824488061551,0.0757520881522551,0.1560514024257528
11,0.1620258243334036,0.2081472732258286,0.1415980622392127
12,0.186027878956775,0.1071837690758748,0.1260872235126797
13,0.2076945571804972,0.1983498882788974,0.1375564835089541
14,0.2202726147168589,0.0856951161681935,0.1363252774215068
15,0.2079103022782044,0.4087349776872155,0.1378492534997502
