Framework,K,Time
L2O,1,$0.001 \pm 0.000$
L2O,2,$0.001 \pm 0.000$
L2O,3,$0.002 \pm 0.001$
L2O,4,$0.002 \pm 0.001$
L2O,5,$0.002 \pm 0.000$
L2O,6,$0.002 \pm 0.000$
L2O,7,$0.003 \pm 0.001$
L2O,8,$0.003 \pm 0.002$
L2O,9,$0.003 \pm 0.001$
L2O,10,$0.006 \pm 0.001$
L2O,11,$0.004 \pm 0.000$
L2O,12,$0.004 \pm 0.000$
L2O,13,$0.004 \pm 0.001$
L2O,14,$0.005 \pm 0.001$
L2O,15,$0.009 \pm 0.001$
DR-L2O,1,$0.062 \pm 0.045$
DR-L2O,2,$0.129 \pm 0.050$
DR-L2O,3,$0.230 \pm 0.066$
DR-L2O,4,$0.261 \pm 0.147$
DR-L2O,5,$0.602 \pm 0.157$
DR-L2O,6,$0.470 \pm 0.168$
DR-L2O,7,$1.085 \pm 0.206$
DR-L2O,8,$2.041 \pm 0.608$
DR-L2O,9,$2.300 \pm 0.723$
DR-L2O,10,$2.635 \pm 0.594$
DR-L2O,11,$4.492 \pm 1.198$
DR-L2O,12,$5.774 \pm 1.563$
DR-L2O,13,$5.284 \pm 0.667$
DR-L2O,14,$6.029 \pm 1.462$
DR-L2O,15,$7.402 \pm 0.706$
OPT-PEP,1,$0.002 \pm 0.000$
OPT-PEP,2,$0.002 \pm 0.000$
OPT-PEP,3,$0.002 \pm 0.000$
OPT-PEP,4,$0.003 \pm 0.000$
OPT-PEP,5,$0.006 \pm 0.001$
OPT-PEP,6,$0.004 \pm 0.001$
OPT-PEP,7,$0.005 \pm 0.000$
OPT-PEP,8,$0.006 \pm 0.000$
OPT-PEP,9,$0.008 \pm 0.001$
OPT-PEP,10,$0.018 \pm 0.002$
OPT-PEP,11,$0.014 \pm 0.001$
OPT-PEP,12,$0.018 \pm 0.001$
OPT-PEP,13,$0.024 \pm 0.001$
OPT-PEP,14,$0.030 \pm 0.011$
OPT-PEP,15,$0.070 \pm 0.005$
