Framework,K,Time
L2O,1,$0.001 \pm 0.000$
L2O,2,$0.001 \pm 0.000$
L2O,3,$0.001 \pm 0.000$
L2O,4,$0.001 \pm 0.000$
L2O,5,$0.001 \pm 0.000$
L2O,6,$0.002 \pm 0.000$
L2O,7,$0.002 \pm 0.000$
L2O,8,$0.002 \pm 0.000$
L2O,9,$0.002 \pm 0.000$
L2O,10,$0.002 \pm 0.000$
L2O,11,$0.002 \pm 0.000$
L2O,12,$0.002 \pm 0.000$
L2O,13,$0.003 \pm 0.000$
L2O,14,$0.003 \pm 0.000$
L2O,15,$0.005 \pm 0.001$
DR-L2O,1,$0.065 \pm 0.050$
DR-L2O,2,$0.132 \pm 0.028$
DR-L2O,3,$0.221 \pm 0.048$
DR-L2O,4,$0.385 \pm 0.048$
DR-L2O,5,$0.605 \pm 0.104$
DR-L2O,6,$0.544 \pm 0.131$
DR-L2O,7,$0.829 \pm 0.195$
DR-L2O,8,$1.603 \pm 0.323$
DR-L2O,9,$1.859 \pm 0.460$
DR-L2O,10,$1.893 \pm 0.299$
DR-L2O,11,$2.760 \pm 0.727$
DR-L2O,12,$3.481 \pm 0.949$
DR-L2O,13,$4.153 \pm 1.535$
DR-L2O,14,$5.831 \pm 0.953$
DR-L2O,15,$3.997 \pm 0.593$
OPT-PEP,1,$0.002 \pm 0.000$
OPT-PEP,2,$0.002 \pm 0.001$
OPT-PEP,3,$0.002 \pm 0.000$
OPT-PEP,4,$0.003 \pm 0.000$
OPT-PEP,5,$0.007 \pm 0.001$
OPT-PEP,6,$0.004 \pm 0.000$
OPT-PEP,7,$0.005 \pm 0.001$
OPT-PEP,8,$0.006 \pm 0.001$
OPT-PEP,9,$0.008 \pm 0.001$
OPT-PEP,10,$0.016 \pm 0.001$
OPT-PEP,11,$0.012 \pm 0.001$
OPT-PEP,12,$0.015 \pm 0.001$
OPT-PEP,13,$0.018 \pm 0.003$
OPT-PEP,14,$0.024 \pm 0.002$
OPT-PEP,15,$0.056 \pm 0.002$
