iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8
0,0.0266704825287932,0.004147232648955508,3.422110013081692,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832
1,0.027328150410365647,0.004147201455745712,5.6092599460389465,0.034251686020165775,9.999999999999159e-07,1.2426516371456453,1.2426516371451262,1.242651637144244,1.2426516371427276,1.2426516371399732,1.2426516371348837,1.2426516371240168,1.2426516371070655,1.2426516371401604,1.0000069593647848e-06,0.28175452513176186,0.434043782786487,0.5310648054102061,0.5987795940609382,0.6489243261257476,0.6876468540104319,0.7185008534488728,0.7436910466053832
2,0.02665976985688427,0.004146548481237815,5.030317054013722,0.0337097489081733,2.097999999999987e-05,1.2426984048217624,1.2426983904865574,1.2426983681559085,1.242698348046267,1.2426983473599778,1.242698337617714,1.2426983577663235,1.2426975832070133,1.2426982373191902,2.197514290504698e-05,0.28177549331023427,0.4340647418864224,0.531085755610112,0.5988005410917423,0.6489452706585671,0.6876678039957492,0.7185217482414974,0.7436910466053832
3,0.02748693646766724,0.004145272789910798,1.7789490589639172,0.034321279009921025,4.095999999999993e-05,1.242789748426949,1.24278971890126,1.2427896637860474,1.2427896215668872,1.2427896379668901,1.2427896167829064,1.2427896780130308,1.2427872808373064,1.2427894750750395,6.294267421894524e-05,0.2818164528858386,0.4341056882430694,0.5311266906598197,0.5988414767701518,0.648986206094055,0.6877087529542056,0.7185625832370804,0.7436910466053832
4,0.0282248110732614,0.004143371920386396,1.818320090067573,0.03433711824033077,6.0939999999999996e-05,1.2429255925457117,1.2429256870691443,1.2429256801393345,1.242925662208813,1.2429257424755098,1.2429257351143772,1.24292587386807,1.242921248831531,1.2429251972926088,0.00012387704632521086,0.28187743948634514,0.4341666912715878,0.5311877015051478,0.5989025067663413,0.6490472500475827,0.6877698258177588,0.7186235045366781,0.7436910466053832
5,0.02726209327470297,0.004140848920832275,2.0599332420388237,0.03429468084540411,8.091999999999984e-05,1.2431060652564372,1.2431061723973273,1.2431062411193567,1.243106295275237,1.2431065098550949,1.2431065523093876,1.243106801753638,1.2430992745826137,1.243105797580516,0.00020481516545607612,0.28195838690741515,0.4342476645296002,0.5312686980243293,0.5989835466080266,0.6491283247780155,0.6878509479873021,0.7187044251728145,0.7436910466053832
6,0.026635708925672883,0.004137708621796307,1.9169790840242058,0.03412277318108043,0.0001008999999999999,1.2433310760690823,1.2433312448734333,1.243331357187111,1.2433313886631394,1.2433314279826764,1.2433313569557463,1.2433310734689496,1.2433237422278909,1.2433312405343604,0.00030573086195958947,0.2820593284644061,0.434348624574653,0.5313696598882544,0.5990844670416188,0.6492291972010368,0.6879516743415737,0.7188053136072026,0.7436910466053832
7,0.02718251587925044,0.004133948971283483,2.1253127979580313,0.03479217715171337,0.00012087999999999997,1.2436009406883133,1.2436010651252247,1.243601202962613,1.2436011930931021,1.2436010644305764,1.2436007706138839,1.2435998978626213,1.2435905473367144,1.243600829923343,0.00042675882713566086,0.2821803414037434,0.43446965819747024,0.5314906949200796,0.5992054694003885,0.6493501417555845,0.6880724724172292,0.7189260701050336,0.7436910466053832
8,0.02675921081091755,0.00412957306832009,2.004805525066331,0.03398727964162223,0.00014085999999999992,1.243915235522977,1.2439153099275082,1.2439155643606166,1.2439155960063086,1.2439153921855988,1.2439148540634293,1.2439134435507355,1.2438999983383898,1.2439142435963435,0.0005677024325780043,0.2823212746613796,0.43461064744182626,0.531631715579362,0.5993464919490612,0.6494911207330036,0.688213333896245,0.7190667171551038,0.7436910466053832
9,0.02370254551080974,0.0041246426596066215,1.9123471139464527,0.032034600103882926,0.00016083999999999998,1.2442734299071498,1.2442728937356733,1.244272338727179,1.2442713090972932,1.2442699182804138,1.2442680434993072,1.2442654213926254,1.2442451895724609,1.2442713684047215,0.0007282253383247784,0.2824815041603546,0.43477053195267396,0.5317911788589722,0.5995054994229528,0.6496496428976624,0.6883714146744176,0.7192241649742184,0.7436910466053832
