iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
0,0.024170936434382128,0.007909766374696647,5.453263131901622,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263
1,0.024878420350776368,0.007909741445813093,9.523847693111748,0.022662409591326215,9.999999999999159e-07,1.24265163714533,1.242651637144438,1.2426516371435286,1.2426516371425345,1.2426516371414154,1.2426516371401108,1.2426516371385357,1.2426516371365757,1.2426516371348297,1.242651637132803,1.2426516371405743,1.2426516371295564,1.242651637140524,1.2426516371381886
2,0.024172270035066182,0.00790922005815484,9.08382672118023,0.02208428912223629,2.097999999999987e-05,1.2426983953730253,1.242698385849755,1.2426983758404506,1.2426983690414288,1.2426983642093372,1.2426983606669306,1.2426983591637057,1.2426983572337018,1.2426982228876735,1.2426981609977135,1.2426975270653444,1.2426981485724875,1.2426984174905455,1.2426982842124434
3,0.02499576932205863,0.007908200567039603,6.053604565095156,0.022605560212454936,4.095999999999993e-05,1.2427897261907928,1.242789708656573,1.2427896840349573,1.242789669513862,1.2427896619927903,1.2427896564438399,1.2427896545267034,1.2427896520554065,1.2427893128871406,1.2427892878980855,1.242787905911759,1.242789235283388,1.2427897172729863,1.242789534625397
4,0.02579343588199625,0.007906685071190677,5.621596857905388,0.022599145133156848,6.0939999999999996e-05,1.2429256001556994,1.2429256738336913,1.2429256810089744,1.2429256856048514,1.2429256930478458,1.2429256952131438,1.2429257056975493,1.242925712526793,1.2429250204353928,1.2429248465340466,1.2429197839339194,1.242924326553782,1.242925950318913,1.2429252091797451
5,0.02483356635414994,0.007904672078803935,5.4440781166777015,0.0225096179816943,8.091999999999984e-05,1.2431060668667857,1.2431061627979494,1.2431062163537299,1.2431062517102456,1.2431062886013695,1.2431063148351473,1.2431063442746981,1.243106367592011,1.2431052975815196,1.2431048861033236,1.243096280958106,1.24310415721888,1.2431066337575618,1.243105465125405
6,0.024159484298331778,0.007902166756555295,6.365071123000234,0.022374937471823206,0.0001008999999999999,1.2433311098398208,1.2433312482233578,1.24333133311994,1.2433313711220615,1.2433314015758397,1.2433314136126559,1.2433314280485745,1.2433314304866787,1.2433297135048171,1.24332871660154,1.2433148999917154,1.2433277456414926,1.2433313890018856,1.243329701248113
7,0.024735425622184854,0.007899162815083051,5.010671392083168,0.022856669969907557,0.00012087999999999997,1.2436009999980298,1.243601095716731,1.24360119192445,1.2436012146768989,1.243601225489309,1.2436012224358706,1.2436012120830722,1.2436011797593223,1.2435988694803264,1.2435975902278706,1.243578730844555,1.2435960949020488,1.243600833129981,1.243598513987605
8,0.024380803621638705,0.007895663319873738,5.636235839687288,0.022388694506745264,0.00014085999999999992,1.2439153529150815,1.24391540274583,1.2439155510749424,1.2439155928334396,1.2439156081584744,1.2439156091401016,1.2439155879671058,1.2439155248505165,1.2439126494835075,1.243911160353822,1.2438882460841405,1.2439089042732678,1.2439144284282668,1.2439115354413333
9,0.021107932324222423,0.007891694064643717,5.73621544893831,0.020892387016883122,0.00016083999999999998,1.2442732714714797,1.2442729454331614,1.2442727666577307,1.244272481419427,1.244272200226174,1.2442719374374003,1.2442716571266708,1.2442713312321356,1.2442682137502206,1.2442661545703373,1.244240104024767,1.2442643917177116,1.244270081771872,1.2442674216296958
10,0.022965508045819833,0.00788725425515176,5.476002993993461,0.021615792389610384,0.00018081999999999983,1.2446755084333783,1.2446746279317353,1.2446739709043186,1.2446732513540797,1.244672590657192,1.2446719875880923,1.2446713908216356,1.2446707509696031,1.2446669010377358,1.2446627176389624,1.2446245541306846,1.2446602836167193,1.2446683999454178,1.2446663666422186
11,0.02403447481139051,0.007882333368435206,6.549294698052108,0.02189999060726347,0.0002007999999999999,1.2451221066626317,1.245120874288022,1.2451198003834836,1.2451186780005343,1.2451176459842705,1.2451166954186983,1.2451157896071716,1.2451148395011848,1.2451098064783501,1.2451024468152139,1.2450442597762716,1.2450982807481867,1.2451112372420559,1.2451086262206146
12,0.02444770604651919,0.007876917502435996,6.952463779132813,0.022513691893234513,0.00022077999999999996,1.2456139812908278,1.245612131014593,1.2456105605839964,1.2456089901518934,1.2456075694437032,1.245606255294285,1.2456050323129264,1.2456037751261355,1.2455971335240699,1.2455858071476487,1.2455077568236959,1.2455817759839871,1.24560104680429,1.2455959782382076
13,0.025429443723264215,0.007870983086120917,6.92112914705649,0.02281077190302354,0.0002407599999999999,1.246151017131702,1.2461485491306987,1.2461467041660743,1.2461448863178932,1.246143258887275,1.2461417360455767,1.2461403144842331,1.2461388658972565,1.246131730430564,1.2461186789833898,1.2460238443903804,1.2461153864774397,1.2461384353016325,1.2461323193450125
