iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
0,0.033649493301114275,0.0078281832812867,0.4622492080088705,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,0.03110593782591857,0.00782815864723601,0.15858966700034216,0.020663003135712857,9.999999999999972e-07,1.2500022360682526,1.250002236067323,1.2500022360663623,1.2500022360653151,1.250002236064134,1.250002236062762,1.2500022360611178,1.2500022360590761,1.2500022360564302,1.2500022360528096,1.2500022360474736,1.2500022360386975,1.2500022360213068,1.2500022359694372
2,0.029591188749572336,0.00782808533382004,0.16446991701377556,0.020495147376629053,2.980000000000002e-06,1.25000889932394,1.2500088984068438,1.2500088970430911,1.2500088957193798,1.2500088943834222,1.2500088930114746,1.2500088916013217,1.2500088901584896,1.2500088886900151,1.2500088872018822,1.2500088856975176,1.2500088841752068,1.2500088826181386,1.2500088809240502
3,0.031088720585096735,0.007827963167414666,0.0031517500174231827,0.020801370047020738,4.960000000000007e-06,1.2500199932006304,1.2500199913931649,1.250019990412184,1.2500199890183938,1.2500199872193942,1.2500199850948845,1.250019982719508,1.2500199801532212,1.2500199774419163,1.2500199746192688,1.250019971707312,1.2500199687127675,1.2500199656059183,1.2500199621631958
4,0.031844743217043885,0.007827791945485836,0.002994542010128498,0.021322386475265177,6.939999999999998e-06,1.2500355305670758,1.250035530108646,1.2500355326613222,1.2500355333850692,1.25003553271119,1.2500355310389661,1.2500355286393974,1.2500355257008604,1.2500355223576616,1.2500355187056318,1.2500355148094198,1.2500355106995886,1.2500355063374848,1.2500355013384534
5,0.03251082251190337,0.007827571705716584,0.0029326669755391777,0.020814910419572025,8.919999999999989e-06,1.2500554883341901,1.2500554950080867,1.2500555059468204,1.2500555137495861,1.2500555191853484,1.2500555228047157,1.2500555249899807,1.2500555260320818,1.250055526158456,1.2500555255450714,1.250055524321071,1.2500555225610859,1.2500555202294623,1.250055516750535
6,0.031178385958688437,0.007827302809860812,0.0032511670142412186,0.020857423630799555,1.0899999999999994e-05,1.2500798779446238,1.2500798887533995,1.2500799057743546,1.25007991821777,1.2500799273865686,1.2500799340741482,1.2500799388049644,1.250079941972862,1.2500799438863444,1.2500799447857378,1.2500799448484818,1.2500799441767179,1.2500799427162146,1.2500799396390605
7,0.03170258553907178,0.007826985037067484,0.00291854195529595,0.021141786335834203,1.2879999999999999e-05,1.2501087200371344,1.2501087268204094,1.2501087469042402,1.2501087623723253,1.250108774216736,1.2501087831889204,1.2501087898335201,1.2501087945913385,1.2501087978243115,1.250108799821565,1.2501088007980545,1.250108800873306,1.2501087999589469,1.2501087969191917
8,0.03342781032765043,0.007826617424851945,0.0028505840455181897,0.02173084067277545,1.4860000000000003e-05,1.2501420419313134,1.2501420545264472,1.2501420890998254,1.2501421168331581,1.2501421389574607,1.2501421567207514,1.250142171017109,1.2501421825315453,1.2501421918040423,1.2501421992560926,1.2501422051987183,1.2501422098100583,1.2501422129919841,1.2501422132792794
9,0.028948488777005368,0.007826203187553395,0.002910041017457843,0.020048526309841743,1.6840000000000008e-05,1.2501797353661153,1.2501796978782036,1.250179717050379,1.2501797376893593,1.250179755044627,1.2501797687222564,1.2501797790900122,1.250179786660108,1.250179791923295,1.2501797952937748,1.2501797970835007,1.2501797974578421,1.2501797962464989,1.2501797915606716
10,0.029577273701953084,0.00782574140625596,0.0029819170013070107,0.02048896289197879,1.8819999999999986e-05,1.2502218269490761,1.2502217294292595,1.250221722407438,1.2502217230000396,1.250221721901691,1.2502217177799548,1.2502217107745914,1.2502217013409782,1.2502216899559708,1.25022167702622,1.2502216628485883,1.250221647551824,1.250221630860942,1.2502216103888941
11,0.032757264913517,0.007825228790930927,0.003060624992940575,0.021934187028490426,2.079999999999999e-05,1.2502684558292803,1.2502683165677162,1.2502683044150007,1.2502683024895447,1.2502682975746369,1.2502682878674836,1.2502682736281845,1.2502682555472422,1.2502682343361973,1.250268210604098,1.2502681848082116,1.2502681571852428,1.2502681274689218,1.2502680928269903
12,0.030934903272631115,0.007824668547121848,0.0029850000282749534,0.020380541447965885,2.2779999999999995e-05,1.2503194418317949,1.2503192448229563,1.250319218370136,1.2503192086708017,1.2503191967634137,1.2503191797663955,1.2503191577520407,1.2503191314386561,1.2503191016165818,1.250319068976256,1.2503190340403536,1.2503189970773352,1.2503189577626046,1.2503189127225285
13,0.02827243784336288,0.007824063137209908,0.0029248330392874777,0.01990999401222456,2.476e-05,1.2503747502058509,1.250374445599906,1.2503743592506318,1.2503743047185663,1.2503742535401663,1.2503741999809588,1.2503741430561077,1.2503740830272683,1.2503740204613867,1.2503739559243383,1.2503738898534018,1.2503738224307077,1.2503737531711276,1.2503736780313415
14,0.03072430580713118,0.007823408507555488,0.003028874984011054,0.021171491541525162,2.6740000000000005e-05,1.2504345463398596,1.250434155472045,1.2504340108057326,1.2504339073539938,1.2504338106956387,1.2504337135400259,1.2504336143289592,1.2504335130418656,1.2504334100822856,1.2504333059106614,1.2504332008837213,1.2504330950960134,1.2504329878925557,1.2504328745086741
15,0.029388416227070842,0.007822706787868538,0.0028504999936558306,0.019971967467964265,2.8719999999999996e-05,1.250498614858625,1.2504981263742054,1.2504979319512477,1.2504977877126966,1.2504976518468074,1.2504975156647993,1.2504973773436339,1.2504972368635776,1.2504970946932707,1.2504969513637267,1.250496807283824,1.2504966625585343,1.2504965164294468,1.2504963634164137
