iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
0,0.034335311753822616,0.008823653685642587,0.08735416701529175,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,0.0337661878408377,0.008823626333160065,0.04782208299729973,0.023264756623149682,9.999999999999159e-07,1.2500022360847007,1.250002236083876,1.2500022360830072,1.2500022360820355,1.2500022360809064,1.250002236079551,1.2500022360778644,1.2500022360756733,1.250002236072668,1.2500022360682312,1.2500022360609235,1.2500022360464305,1.2500022360031793
2,0.03309127245168492,0.008823053105839859,0.04854258301202208,0.023249794937825256,2.097999999999987e-05,1.250049163252506,1.2500491417964474,1.2500491281397375,1.2500491171392962,1.2500491077105809,1.2500490994035927,1.2500490920041625,1.2500490853833517,1.25004907944232,1.2500490740902177,1.2500490692266601,1.2500490646935283,1.2500490599501277
3,0.0347972455202125,0.008821932878119483,0.0026745840441435575,0.023766485267419108,4.095999999999993e-05,1.2501408477124476,1.250140783447082,1.2501407441229033,1.2501407182445667,1.2501406990766164,1.2501406838884845,1.2501406714814824,1.2501406612346926,1.2501406527542924,1.2501406457339037,1.250140639871702,1.2501406347177024,1.2501406287404424
4,0.03438029786767975,0.008820266840623505,0.0027542500174604356,0.022952400445125885,6.0939999999999996e-05,1.2502770915008041,1.250276982709855,1.2502769328915428,1.250276914001548,1.2502769076434348,1.2502769076784304,1.2502769118583206,1.250276919175629,1.250276929021704,1.2502769409018657,1.2502769542890206,1.250276968340141,1.2502769800770825
5,0.033090400210218675,0.008818059122022794,0.0026367499958723783,0.02251905957386986,8.091999999999984e-05,1.2504577963482442,1.2504575227219217,1.2504574378973277,1.2504574250381708,1.25045743688792,1.2504574597952758,1.2504574892375466,1.2504575233517823,1.2504575610754898,1.2504576015665978,1.2504576439374295,1.250457686781675,1.2504577251651705
6,0.03447157248653474,0.008815302556569345,0.0026781660271808505,0.02319432955000825,0.0001008999999999999,1.2506831131578597,1.2506828402929475,1.2506828034164967,1.2506828525200884,1.2506829266751434,1.2506830106894713,1.2506831001841199,1.250683193437979,1.250683289374088,1.2506833870202625,1.250683485243188,1.2506835820945434,1.2506836703473478
7,0.03272057152138625,0.00881201250345556,0.002904666995164007,0.022275146225169653,0.00012087999999999997,1.2509527429182274,1.250952361339126,1.250952213341539,1.2509522015556833,1.250952242911206,1.2509523130373794,1.2509524028588734,1.250952507632859,1.25095262407823,1.2509527494953285,1.25095288128021,1.250953015924275,1.2509531427175666
8,0.03341649929220996,0.008808179597200481,0.002714207977987826,0.02271875014788416,0.00014085999999999992,1.2512668343255886,1.2512664778526745,1.2512662763468374,1.251266220274171,1.2512662307450253,1.2512662833266783,1.2512663678190712,1.2512664779562555,1.2512666088944997,1.2512667564640902,1.2512669166553116,1.251267084320482,1.25126724479186
9,0.03978514363826067,0.008803773926300315,0.00276283296989277,0.02473627753138813,0.00016083999999999998,1.2516266606057873,1.2516267026530052,1.251626787390432,1.2516269589566376,1.2516271696011054,1.2516274081451781,1.251627670115956,1.2516279517880284,1.251628249480201,1.2516285595354604,1.2516288780451206,1.2516291993619317,1.2516295054711828
