iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10
0,0.03149187702127301,0.002154720529574749,0.6147034579771571,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134
1,0.02954582645915442,0.0021547038094814532,0.25792429101420566,0.022366269833485285,9.999999999999972e-07,1.2500022360680643,1.2500022360673162,1.2500022360660068,1.2500022360637923,1.2500022360600935,1.2500022360540475,1.2500022360442757,1.2500022360279281,1.2500022359969318,1.2500022359189702,1.2500022354794316,9.999993284211323e-07,0.28175452512389,0.4340437827785028,0.5310648054020305,0.5987795940525228,0.6489243261171607,0.6876468540024813,0.7185008534460545,0.7436920465819012,0.7646657175612094,0.7824092432280134
2,0.031342849080184504,0.002154653932611027,0.2561927500064485,0.02395273907585968,2.980000000000002e-06,1.2500089059009554,1.2500089071168892,1.2500089084439072,1.250008908454241,1.2500089077502032,1.2500089074129765,1.250008907957096,1.2500089084543895,1.250008907332582,1.2500089040055422,1.2500088988287967,3.9831985364552396e-06,0.2817575088511203,0.4340467668179969,0.531067789102183,0.5987825769586695,0.6489273081948186,0.6876498357261268,0.7185038355464292,0.743695029525169,0.7646687011847993,0.7824092432280134
3,0.028824727527528633,0.0021545716116747444,0.004373915959149599,0.022354421466580413,4.960000000000007e-06,1.2500199944098562,1.250019993334474,1.2500199869541264,1.250019972702272,1.2500199514353327,1.250019925837938,1.2500198998865422,1.2500198771318012,1.2500198593578518,1.2500198462650847,1.2500198328806944,8.941725817160654e-06,0.2817624659282493,0.43405172008113013,0.5310727360506676,0.5987875149534214,0.6489322348826992,0.6876547498321961,0.7185087377069777,0.7436999224942624,0.7646735890018557,0.7824092432280134
4,0.02924697150273899,0.0021544564898987343,0.003928709018509835,0.0227763792315167,6.939999999999998e-06,1.250035511707322,1.2500355026954935,1.2500354838430132,1.2500354484813334,1.2500353974823968,1.2500353354324825,1.2500352710513682,1.250035214458427,1.2500351722568226,1.2500351439923454,1.2500351164395762,1.588075659360428e-05,0.2817694007325089,0.43405864901198427,0.5310796557266944,0.5987944217777851,0.6489391255515191,0.6876616224068451,0.7185155928581521,0.7437067639224334,0.7646804223298288,0.7824092432280134
5,0.029197100963058182,0.0021543082568247123,0.0038114169728942215,0.0221941146483325,8.919999999999989e-06,1.2500554347181227,1.2500554073015666,1.2500553741438398,1.2500553224056785,1.2500552530075302,1.2500551727125242,1.2500550931567544,1.2500550268971398,1.2500549809357122,1.2500549522504778,1.2500549182682446,2.4788354458655014e-05,0.28177829957893363,0.43406754059793234,0.5310885386831893,0.5988032946572017,0.6489479875006136,0.6876704738820152,0.7185244361269173,0.7437156027677424,0.7646892608040614,0.7824092432280134
6,0.029880415462072363,0.002154126513392884,0.003725707996636629,0.02261151481576029,1.0899999999999994e-05,1.25007977033337,1.2500797376811998,1.250079698204627,1.2500796417722386,1.2500795715663384,1.2500794950340837,1.2500794222734646,1.2500793633734744,1.2500793231979652,1.250079296707994,1.2500792549825892,3.5669218342824574e-05,0.28178917773927936,0.43407841466601604,0.5310994088632358,0.5988141615990374,0.648958852205991,0.6876813376029809,0.7185353003362109,0.7437264690012935,0.7647001301348458,0.7824092432280134
7,0.028130946783579698,0.002153912983907044,0.0037739999825134873,0.021831120174323527,1.2879999999999999e-05,1.250108499536491,1.250108435500848,1.25010837418742,1.2501082933916752,1.2501081953606326,1.2501080898528976,1.250107991032742,1.250107913566512,1.250107864321398,1.2501078349752854,1.2501077817419555,4.8511789518894994e-05,0.28180200523137067,0.4340912298212942,0.5311122099647742,0.5988269463911797,0.6489716189241608,0.6876940861813378,0.718548033620052,0.7437391929018822,0.764712851934784,0.7824092432280134
8,0.030053128100169402,0.0021536660639667024,0.0038580000400543213,0.023145085753867138,1.4860000000000003e-05,1.2501416943417485,1.2501416093595685,1.2501415329026577,1.2501414329745442,1.250141308964334,1.2501411699735911,1.2501410313852275,1.2501409112295696,1.2501408199970916,1.2501407499989192,1.250140649236224,6.335172034988549e-05,0.28181683487400255,0.43410605001538116,0.5311270189035783,0.5988417412377826,0.6489863965086212,0.6877088440454373,0.7185627713989645,0.7437539131900783,0.7647275596596307,0.7824092432280134
9,0.02949301194764785,0.002153385551437111,0.003818417026195675,0.0227166397133818,1.6840000000000008e-05,1.250179318809228,1.2501792035657908,1.2501791354051601,1.2501790410923228,1.250178912328423,1.2501787572834104,1.2501785910086114,1.2501784312178807,1.2501782888341388,1.2501781566669876,1.2501779802617343,8.017291877019896e-05,0.2818336440263515,0.43412285972119874,0.531143828053538,0.5988585465193822,0.6490031940014103,0.6877256299278687,0.71857954270778,0.7437706685847422,0.7647442995198215,0.7824092432280134
