iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
0,3.5023280145763342,0.010015232323192683,0.22585562500171363,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,3.5023280145763342,0.010015247962015422,0.39329395798267797,27.95447521464685,1.0000000000000006e-06,1.2499977639343163,1.2499977639343027,1.2499977639343038,1.2499977639343107,1.2499977639343098,1.2500022360676677,1.2499977639343505,1.2499977639343052,1.2500022360676661,1.2499977639343092,1.2500022360675778,1.2499977639343252
2,3.5023316577861596,0.010015266415832355,0.349804374971427,27.954743350248282,1.1800000000000006e-06,1.2499951253792099,1.24999512537913,1.2499951253792079,1.2499951253795787,1.2499951253806154,1.2500048746288797,1.2499951253791914,1.2499951253797172,1.2500048746283876,1.2499951253790786,1.250004874630388,1.2499951253770774
3,3.5023359567778183,0.010015287684651432,0.015490124991629273,27.9550269262746,1.3600000000000005e-06,1.2499920843356598,1.2499920843355867,1.2499920843358414,1.249992084337918,1.249992084342321,1.2500079156823318,1.2499920843355183,1.2499920843376697,1.2500079156801174,1.2499920843348082,1.2500079156909474,1.2499920843262777
4,3.5023409115540876,0.01001531176848442,0.014821749995462596,27.955381670091977,1.5400000000000005e-06,1.2499886408048897,1.2499886408048455,1.2499886408053213,1.2499886408113001,1.2499886408240415,1.2500113592267348,1.2499886408034384,1.2499886408105043,1.2500113592217057,1.249988640801958,1.2500113592498243,1.2499886407786018
5,3.502346522118308,0.010015338667348217,0.014854875043965876,27.95576712912994,1.7200000000000005e-06,1.2499847947883291,1.2499847947881346,1.2499847947889309,1.249984794802771,1.249984794830966,1.2500152052602507,1.2499847947846385,1.2499847948008276,1.250015205247844,1.2499847947811134,1.250015205307706,1.249984794729079
6,3.502352788474038,0.010015368381273164,0.014932416030205786,27.956197912943555,1.9000000000000004e-06,1.2499805462852496,1.2499805462846822,1.2499805462862477,1.2499805463133582,1.249980546368263,1.2500194537806404,1.2499805462773959,1.249980546309406,1.2500194537565046,1.2499805462705214,1.2500194538729323,1.2499805461686617
7,3.502359710628446,0.010015400910267088,0.015071499976329505,27.956673655971535,2.0800000000000004e-06,1.2499758952982782,1.2499758952980142,1.2499758953007425,1.2499758953490416,1.2499758954463784,1.2500241047821865,1.2499758952831013,1.249975895341768,1.2500241047396266,1.24997589527183,1.2500241049490743,1.24997589509115
8,3.5023672885839368,0.010015436254361606,0.015015540993772447,27.95721781382079,2.2600000000000004e-06,1.2499708418292423,1.2499708418293753,1.2499708418340405,1.2499708419144573,1.2499708420763176,1.2500291582577914,1.2499708418020097,1.2499708419019049,1.2500291581893441,1.2499708417848994,1.2500291585379824,1.2499708414848023
9,3.502375522346495,0.010015474413584082,0.01508795894915238,27.957782063218286,2.440000000000001e-06,1.2499653858810693,1.2499653858812154,1.249965385888788,1.2499653860146676,1.2499653862707583,1.2500346142005594,1.2499653858371476,1.2499653859956725,1.250034614091503,1.2499653858101831,1.2500346146442054,1.249965385336604
10,3.502384411920644,0.010015515387991152,0.014632874983362854,27.958393044527895,2.6200000000000003e-06,1.2499595274519215,1.249959527452845,1.2499595274645374,1.2499595276545943,1.2499595280420728,1.2500404726017005,1.2499595273853674,1.2499595276262125,1.250040472436099,1.2499595273449002,1.250040473276058,1.2499595266282588
11,3.5023939573177656,0.010015559177618004,0.015324417036026716,27.959057269052515,2.8000000000000003e-06,1.2499532665443782,1.2499532665467863,1.2499532665639457,1.249953266841244,1.2499532674078166,1.2500467334484708,1.2499532664482762,1.2499532668004076,1.2500467332087324,1.2499532663881945,1.2500467344438237,1.2499532653401473
12,3.5024041585443357,0.010015605782531996,0.015401000040583313,27.959780675449775,2.9800000000000003e-06,1.249946603159135,1.2499466031633437,1.2499466031876343,1.2499466035806326,1.249946604386048,1.250053396736088,1.2499466030233497,1.2499466035237796,1.2500533963898763,1.2499466029377841,1.2500533981464612,1.2499466014485159
13,3.502415015611089,0.010015655202790057,0.014867375022731721,27.960523559245132,3.1600000000000002e-06,1.249939537298112,1.2499395373048172,1.2499395373386752,1.2499395378820297,1.2499395389988193,1.250060462438388,1.2499395371128916,1.2499395378040492,1.2500604619606916,1.2499395369914619,1.2500604643967372,1.2499395349280606
14,3.5024265285277325,0.010015707438455842,0.014913749997504056,27.96132856557909,3.340000000000001e-06,1.2499320689633455,1.2499320689735023,1.2499320690195257,1.249932069755913,1.249932071271249,1.250067930539173,1.2499320687151498,1.2499320696502951,1.250067929896562,1.2499320685476847,1.250067933202078,1.2499320657490625
15,3.5024386973040778,0.010015762489615419,0.014762583014089614,27.962176356978038,3.520000000000001e-06,1.2499241981549587,1.249924198169633,1.249924198230772,1.249924199211036,1.2499242012291865,1.2500758010184543,1.249924197828628,1.249924199070105,1.2500758001721128,1.249924197601291,1.2500758045739662,1.2499241938768493
16,3.502451521954283,0.010015820356361458,0.014697832986712456,27.96308236727245,3.700000000000001e-06,1.2499159248735714,1.2499159248934077,1.2499159249733318,1.2499159262556252,1.2499159288999182,1.2500840738646242,1.2499159244496931,1.2499159260719328,1.2500840727588345,1.249915924147277,1.2500840785190497,1.2499159192720244
17,3.5024650024921575,0.010015881038780535,0.014918166969437152,27.964015891251197,3.880000000000001e-06,1.2499072491198124,1.2499072491468524,1.2499072492497931,1.2499072509019904,1.2499072543156744,1.2500927490450975,1.2499072485785636,1.2499072506675788,1.2500927476222383,1.2499072481814812,1.250092755059821,1.2499072418936232
18,3.502479138932299,0.010015944536993308,0.014976709033362567,27.96501313010329,4.060000000000002e-06,1.2498981708935406,1.2498981709298973,1.249898171060565,1.2498981731622172,1.2498981775119293,1.250101826528266,1.2498981702099068,1.2498981728666125,1.2501018247308218,1.2498981696971785,1.250101834204756,1.24989816169501
19,3.5024939312926264,0.010016010851108759,0.014805000042542815,27.966057755540692,4.240000000000001e-06,1.2498886901963917,1.2498886902446842,1.2498886904077173,1.249888693050898,1.249888698528453,1.2501113062901643,1.2498886893386756,1.2498886926817088,1.2501113040397491,1.249888688689574,1.2501113159670882,1.2498886786250079
20,3.502509379589304,0.010016079981243658,0.014678250008728355,27.96714565954856,4.420000000000001e-06,1.2498788070312954,1.2498788070914133,1.2498788072933955,1.2498788105821033,1.2498788174045607,1.2501211882953194,1.2498788059688082,1.2498788101260343,1.2501211855100969,1.2498788051524843,1.250121200358491,1.2498787926285315
21,3.502525483837721,0.010016151927545472,0.014882999996189028,27.968260358805583,4.600000000000001e-06,1.2498685213968412,1.2498685214708338,1.2498685217193388,1.2498685257712867,1.2498685341844822,1.250131472505819,1.2498685200937059,1.2498685252120483,1.250131469090353,1.2498685190786893,1.2501314873966434,1.2498685036450492
22,3.5025422440600567,0.01001622669014839,0.014644458016846329,27.969444245490244,4.78e-06,1.249857833293726,1.2498578333848105,1.2498578336876565,1.249857838633648,1.2498578489184213,1.2501421588846293,1.2498578317080735,1.2498578379548337,1.2501421547272142,1.2498578304603742,1.2501421771038965,1.2498578116115704
23,3.502559660275688,0.010016304269230758,0.014768583001568913,27.970683215591176,4.96e-06,1.249846742721669,1.2498467428313729,1.2498467431975149,1.2498467491882592,1.2498467616562172,1.2501532473922183,1.2498467407988711,1.2498467483673708,1.2501532423720025,1.2498467392865895,1.2501532694910795,1.2498467164547644
24,3.5025777325099594,0.010016384664953124,0.01471250003669411,27.971949562263973,5.140000000000001e-06,1.2498352496797527,1.2498352498108547,1.2498352502503614,1.2498352574507676,1.2498352724500683,1.2501647379808356,1.2498352473663497,1.2498352564665907,1.2501647319649973,1.2498352455468134,1.250164764587383,1.249835218100208
25,3.502596460786258,0.010016467877485518,0.014781832986045629,27.97328668725475,5.320000000000001e-06,1.249823354169843,1.2498233543242303,1.2498233548487456,1.2498233634410874,1.2498233813594102,1.2501766306093154,1.249823351402573,1.2498233622699617,1.2501766234429643,1.2498233492323019,1.2501766624065218,1.2498233164686878
26,3.5026158451265244,0.010016553907026833,0.014780415978748351,27.974646356090517,5.500000000000001e-06,1.2498110561915616,1.2498110563719993,1.2498110569931684,1.2498110671785951,1.2498110884444766,1.250188925227498,1.2498110529065607,1.2498110657956178,1.2501889167368654,1.249811050330324,1.2501889629605283,1.2498110114752907
27,3.5026358855572832,0.01001664275376348,0.014992000011261553,27.976079212340657,5.680000000000001e-06,1.2497983557450398,1.2497983559535595,1.2497983566850686,1.2497983686858294,1.2497983937696122,1.2502016217788374,1.2497983518673177,1.2497983670621864,1.2502016117774677,1.2497983488295679,1.2502016662862778,1.2497983030311413
28,3.5026565821053297,0.010016734417895816,0.014815417001955211,27.977549615855317,5.860000000000001e-06,1.2497852528261357,1.249785253067791,1.249785253924667,1.2497852679837278,1.2497852974036106,1.2502147202105398,1.2497852482732603,1.2497852660875282,1.2502147084953439,1.249785244715068,1.2502147724234578,1.2497851910396547
29,3.502677934799798,0.010016828899650112,0.01473449997138232,27.979065867011947,6.0400000000000015e-06,1.2497717474377057,1.2497717477152839,1.2497717487136724,1.24977176509696,1.2497717994180282,1.2502282204585318,1.2497717421190189,1.2497717628928962,1.2502282068079769,1.2497717379745354,1.2502282813867096,1.249771675402359
30,3.502699943669236,0.010016926199256867,0.014520625001750886,27.98063052944864,6.22e-06,1.2497578395823772,1.249757839894889,1.2497578410531276,1.2497578600492136,1.2497578998894354,1.2502421224602025,1.2497578333985264,1.2497578574997745,1.2502421066276128,1.2497578285941338,1.2502421932016456,1.2497577560130329
31,3.502722608744757,0.010017026316970252,0.014664750022348017,27.98225347909718,6.4000000000000006e-06,1.2497435292588286,1.249743529605882,1.2497435309438685,1.2497435528668295,1.2497435988963055,1.2502564261465645,1.249743522096955,1.2497435499301395,1.2502564078684548,1.2497435165581023,1.2502565078938008,1.249743432760967
32,3.5027459300600134,0.010017129253028306,0.015195375017356128,27.98393859120189,6.5800000000000005e-06,1.2497288164644953,1.2497288168475256,1.2497288183860884,1.249728843574615,1.2497288965203681,1.2502711314485275,1.2497288082094693,1.2497288402089204,1.2502711104445552,1.2497288018488428,1.2502712255011572,1.2497287055295252
33,3.5027699076477203,0.010017235007693968,0.014732041978277266,27.98565136175986,6.760000000000001e-06,1.2497137011995705,1.2497137016186999,1.24971370338145,1.2497137321992366,1.2497137928482622,1.2502862383063027,1.2497136917209182,1.2497137283587934,1.2502862142591467,1.2497136844488188,1.250286346050243,1.2497135741962098
34,3.5027945415407467,0.010017343581256511,0.01438050001161173,27.98743095067063,6.940000000000001e-06,1.249698183462901,1.2496981839168428,1.2496981859295433,1.2496982187681287,1.249698287969353,1.2503017466251571,1.249698172622493,1.2496982144039421,1.2503017192189805,1.2496981643381984,1.2503018695797523,1.2496980386331558
35,3.5028198317799735,0.010017454973978802,0.014791499997954816,27.9892587066951,7.120000000000001e-06,1.2496822632526141,1.2496822637418818,1.249682266031431,1.2496823033140925,1.249682381979423,1.2503176563326954,1.2496822508954861,1.2496822983704818,1.2503176252228636,1.2496822414994893,1.250317796132176,1.249682098710536
