iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12
0,1.7272632971037145,0.0012473129107252907,0.2754841250134632,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134,0.7976243809601434,0.8108199838000862
1,1.7272632971037145,0.0012473150576986505,0.40757995803141966,21.261284463677107,1.0000000000000006e-06,1.249997763934338,1.2499977639343247,1.249997763934357,1.2500022360676424,1.2499977639343207,1.2499977639343043,1.2499977639343476,1.2500022360676966,1.2500022360676915,1.2500022360676706,1.2500022360676861,1.2500022360676835,1.2500022360676204,-9.999993896863315e-07,0.2817525251259104,0.43404178278090744,0.5310648054015518,0.5987775940566181,0.6489223261229744,0.6876448540111338,0.7184988534597111,0.7436900466059648,0.764663717617899,0.7824102432273708,0.7976253809593421,0.8108199838000862
2,1.7272632569977582,0.0012473175882543183,0.35342575004324317,21.31187533375127,1.1800000000000006e-06,1.2499951254503963,1.2499951250387185,1.2499951263952986,1.250004873851653,1.2499951259081965,1.249995125363909,1.2499951255915445,1.250004874462791,1.2500048750235553,1.2500048751646007,1.2500048750073414,1.2500048748719466,1.2500048745645969,-2.1731667851727938e-06,0.28175134504855753,0.43404060322645577,0.5310659864293944,0.5987764142114471,0.648921146146914,0.687643674024286,0.7184976733764348,0.7436888667278112,0.7646625378674238,0.782411424210313,0.7976265619197113,0.8108199838000862
3,1.7272632055019101,0.0012473205060424747,0.02476429200032726,21.27653318852885,1.3600000000000005e-06,1.2499920842826966,1.2499920838283312,1.2499920858461315,1.2500079150155712,1.249992085399776,1.2499920843492909,1.249992084472803,1.2500079154870294,1.250007916178388,1.2500079163418663,1.2500079162013047,1.2500079160106292,1.2500079155688588,-3.5322748857556113e-06,0.28174998500927156,0.4340392434649558,0.531067349906974,0.5987750543767798,0.6489197861865866,0.6876423140435066,0.7184963133834569,0.7436875067878221,0.7646611779611858,0.7824127844997173,0.7976279220403639,0.8108199838000862
4,1.7272631474266622,0.001247323820663744,0.024211915966589004,21.23093643520606,1.5400000000000005e-06,1.2499886403388318,1.249988640912742,1.2499886406505216,1.2500113599615266,1.2499886410502972,1.2499886409511844,1.249988640354021,1.250011359332722,1.250011358555523,1.2500113591026516,1.2500113588724928,1.250011358805257,1.2500113592257318,-5.07644674831205e-06,0.28174844510265373,0.4340377027151849,0.5310688803463296,0.5987735141458542,0.6489182461867544,0.6876407740599049,0.7184947736167844,0.7436859664731165,0.7646596375460396,0.7824143215897551,0.7976294584948223,0.8108199838000862
5,1.727263087434599,0.0012473275171468196,0.024034083005972207,21.311349248840074,1.7200000000000005e-06,1.2499847941752051,1.2499847947836904,1.2499847952245717,1.250015205578903,1.249984795575872,1.2499847949633467,1.2499847942744338,1.2500152052751687,1.2500152046490196,1.2500152053908418,1.2500152049900013,1.2500152049605895,1.2500152050442803,-6.804177476331016e-06,0.28174672508783305,0.43403598301578566,0.5310705942879421,0.5987717942964015,0.6489165262235722,0.6876390540794631,0.7184930535843792,0.7436842464760142,0.7646579175932025,0.7824160413260738,0.7976311779753105,0.8108199838000862
6,1.727263017869885,0.001247331611725339,0.024140375026036054,21.23304817547319,1.9000000000000004e-06,1.2499805451769646,1.2499805469410312,1.2499805448467753,1.2500194553642836,1.2499805461873184,1.2499805466184613,1.2499805454330997,1.250019454147829,1.2500194518078203,1.2500194529348052,1.2500194525030692,1.250019452668025,1.2500194536093174,-8.715674050193132e-06,0.2817448251925269,0.4340340821534074,0.531072472505149,0.5987698940127252,0.6489146262201688,0.6876371541018831,0.7184911538513509,0.7436823460831765,0.7646560170459608,0.7824179376899872,0.7976330733112411,0.8108199838000862
7,1.727262945881927,0.0012473361106823523,0.023853667022194713,21.256246386925604,2.0800000000000004e-06,1.2499758939142347,1.2499758968828918,1.2499758908352463,1.250024107504175,1.249975893345992,1.249975895823918,1.249975894521319,1.2500241056241888,1.2500241008724227,1.2500241027898373,1.2500241020838425,1.2500241023755088,1.2500241050112655,-1.0810088572511125e-05,0.2817427453014011,0.43403200073332054,0.5310744912982148,0.5987678134253231,0.648912546173149,0.6876350741322838,0.7184890742225546,0.7436802655226932,0.7646539363620426,0.7824200130170929,0.7976351473841148,0.8108199838000862
8,1.7272628775799435,0.0012473410127685496,0.023917959013488144,21.25145004452362,2.2600000000000004e-06,1.2499708400052008,1.249970844368316,1.2499708331905854,1.2500291623716908,1.2499708371457023,1.249970842552909,1.2499708415069253,1.2500291596808168,1.2500291518444957,1.2500291547656988,1.2500291536580015,1.2500291540604191,1.2500291592209571,-1.3087323419447113e-05,0.28174048525027806,0.4340297386030315,0.5310766546481401,0.5987655525514659,0.6489102860790877,0.6876328141735875,0.7184868146955181,0.7436780048189487,0.7646516755254242,0.7824222670621815,0.7976373998897022,0.8108199838000862
9,1.7272628112967956,0.0012473462754836228,0.024194249999709427,21.30500519201,2.440000000000001e-06,1.249965383117338,1.2499653878732704,1.2499653776464874,1.2500346181908326,1.249965382408642,1.2499653866044484,1.249965386026164,1.2500346155984123,1.2500346079026818,1.2500346109802887,1.2500346095563792,1.2500346100616022,1.2500346152325685,-1.5546622460435145e-05,0.28173804496834626,0.43402729874229495,0.53107904509641,0.5987631128487778,0.6489078461365261,0.6876303742099859,0.7184843746319487,0.7436755647700282,0.7646492355337522,0.7824247059643914,0.7976398374332722,0.8108199838000862
