iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13
0,1.5377221412329167,0.0009719833532335544,0.2612271659891121,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134,0.7976243809601434,0.8108199838000862,0.8223766390185734
1,1.5377221412329167,0.000971984909500834,0.41491287504322827,13.464276071081095,1.0000000000000006e-06,1.2499977639343332,1.2500022360674905,1.2500022360676593,1.2499977639343207,1.249997763934643,1.2500022360676353,1.250002236067613,1.2499977639343034,1.2500022360676946,1.2499977639343072,1.2500022360676875,1.250002236067681,1.2499977639366477,1.2500022360676633,-9.99999405073036e-07,0.28175452512470894,0.4340417827847212,0.5310628054050656,0.5987795940553292,0.6489243261218068,0.6876448540111835,0.718498853459708,0.7436900466059596,0.7646637176178814,0.7824082432285894,0.7976233809607276,0.8108189838010996,0.8223766390185734
2,1.5377214065796967,0.0009719864736264137,0.37555145897204056,13.510443902279157,1.1800000000000006e-06,1.2499951246144676,1.2500048774479458,1.2500048756207027,1.2499951251036232,1.2499951274280818,1.250004878180848,1.2500048770286822,1.249995125174631,1.25000487429771,1.2499951257995734,1.2500048741473377,1.2500048745324435,1.2499953560545125,1.2500048743362842,-2.1812062015911827e-06,0.28175570551729784,0.4340416093105583,0.5310616253248305,0.5987807732640473,0.6489255073293887,0.6876436797525572,0.7184976735029088,0.743688866560324,0.7646625376438575,0.7824070631215785,0.7976222010403626,0.8108178022067577,0.8223766390185734
3,1.5377201590705436,0.0009719883025327427,0.030546209018211812,13.468912841468798,1.3600000000000005e-06,1.2499920836936471,1.2500079190331062,1.2500079169121068,1.2499920841540595,1.2499920904134423,1.2500079150716554,1.2500079144189737,1.2499920841347822,1.2500079152609507,1.2499920847268011,1.2500079149871282,1.2500079156202455,1.249992700715578,1.2500079153494295,-3.5429256425307484e-06,0.2817570656814316,0.4340412704912583,0.5310602654464932,0.5987821343948253,0.6489268671255128,0.6876423215451286,0.7184963135073898,0.743687506544104,0.7646611776406816,0.7824057030870758,0.7976208410007865,0.8108164429234517,0.8223766390185734
4,1.537718767907864,0.0009719904060919374,0.0302340830094181,13.49970283424828,1.5400000000000005e-06,1.2499886396240072,1.2500113680958145,1.2500113605998648,1.2499886402380882,1.2499886477047621,1.2500113620944704,1.2500113585790957,1.2499886404424003,1.250011358591441,1.2499886415621868,1.2500113580541763,1.2500113590199418,1.2499895287441376,1.2500113586529593,-5.085295413795289e-06,0.2817586065205291,0.4340408093920567,0.5310587253140122,0.5987836728953448,0.6489284083408058,0.6876407869931511,0.7184947735523189,0.7436859665420447,0.764659637672928,0.7824041629896482,0.7976193010370103,0.8108149011424908,0.8223766390185734
5,1.5377172278555673,0.0009719928195346735,0.029984917026013136,13.479780591113547,1.7200000000000005e-06,1.2499847934026516,1.2500152176034518,1.250015206265898,1.2499847939655215,1.2499848024395677,1.250015207897259,1.2500152044070774,1.249984794361471,1.250015204503799,1.249984795700697,1.2500152037146373,1.250015204978606,1.2499859630553856,1.2500152045999884,-6.808037274927251e-06,0.28176032709800464,0.4340400507186836,0.5310570052133524,0.598785391915691,0.648930128796632,0.6876390706562661,0.7184930535897882,0.7436842465511376,0.764657917681525,0.782402442897467,0.797617581004609,0.8108131798220283,0.8223766390185734
6,1.5377155994446094,0.0009719955594411796,0.02991333295358345,13.460064760330997,1.9000000000000004e-06,1.2499805458549529,1.2500194638396531,1.2500194525599158,1.2499805457976723,1.2499805528741623,1.2500194415127464,1.2500194497302581,1.2499805461536961,1.2500194533965046,1.249980546707586,1.250019452662445,1.2500194535232159,1.2499822693696556,1.2500194534552869,-8.71095255579716e-06,0.28176222704042,0.43403883989449143,0.531055105254008,0.5987872921993601,0.648932026430244,0.6876371692242906,0.7184911535740025,0.7436823466258581,0.7646560176371416,0.7824005429561774,0.7976156808204334,0.8108112849969314,0.8223766390185734
7,1.5377139343243083,0.0009719984822393307,0.03017458296380937,13.498667691466128,2.0800000000000004e-06,1.2499758945681119,1.2500241182610856,1.2500241032027397,1.2499758947099238,1.2499759036130644,1.2500240895011492,1.2500241027123928,1.2499758951543984,1.250024104391614,1.2499758958051954,1.2500241034659267,1.250024104484143,1.2499780363870452,1.2500241043888922,-1.0794554331897715e-05,0.2817643076262202,0.4340378765539462,0.5310530251722778,0.5987893712328757,0.6489341064587545,0.6876350935519522,0.7184890736257153,0.743680266672304,0.7646539376367182,0.7823984628742623,0.7976136007972798,0.8108092050456681,0.8223766390185734
8,1.5377119817815734,0.0009720016422296396,0.02994195796782151,13.497248220548,2.2600000000000004e-06,1.2499708397370735,1.2500291798054952,1.2500291570565665,1.2499708408783654,1.2499708531846838,1.250029148156532,1.2500291605255953,1.2499708414181052,1.2500291577594187,1.2499708429568792,1.2500291561443857,1.2500291576837685,1.249973304476867,1.2500291574655165,-1.3058827190154622e-05,0.2817665687718547,0.43403693457129017,0.531050764983938,0.5987916291374742,0.6489363680859307,0.6876328412147281,0.7184868136959124,0.7436780067445387,0.764651677704211,0.7823962027086191,0.7976113408609111,0.8108069405633852,0.8223766390185734
9,1.5377098251393535,0.0009720050073198969,0.030585583997890353,13.496367789307492,2.440000000000001e-06,1.249965381827044,1.250034647593925,1.2500346144296488,1.249965384349442,1.2499654034637544,1.250034615525027,1.2500346224612908,1.2499653849759156,1.2500346134348548,1.249965388142091,1.2500346109840856,1.250034613296907,1.2499680927278498,1.2500346127587463,-1.550352696907158e-05,0.2817690103025058,0.43403613526614926,0.5310483247740363,0.598794066941291,0.6489388109959703,0.68763041146767,0.7184843737783672,0.7436755667893601,0.7646492378183827,0.7823937624851965,0.797608901070616,0.8108044935121925,0.8223766390185734
