iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14
0,1.374347202085201,0.0007652677697838161,0.27386020799167454,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134,0.7976243809601434,0.8108199838000862,0.8223766390185734,0.8325843815233089
1,1.374347202085201,0.0007652690093764183,0.43626733298879117,12.349257064086117,1.0000000000000006e-06,1.24999776393435,1.249997763934326,1.2499977639343132,1.2500022360676821,1.2499977639346747,1.2499977639343067,1.2500022360674035,1.2500022360675778,1.2499977639343027,1.250002236067688,1.2500022360676697,1.2499977639343103,1.250002236067681,1.250002236067671,1.2500022360676866,-9.999993929448035e-07,0.281752525125919,0.4340417827808974,0.5310648054038984,0.5987795940554038,0.6489223261229773,0.6876448540111391,0.7184988534597172,0.7436900466059566,0.7646637176178842,0.7824082432285904,0.7976233809607202,0.8108189838007452,0.8223776390179599,0.8325843815233089
2,1.3743473661406147,0.0007652704675864634,0.3925171250011772,12.350248230655593,1.1800000000000006e-06,1.2499951276427408,1.2499951254584019,1.2499951252892763,1.2500048748047865,1.249995128633047,1.249995125396706,1.2500048726510289,1.2500048759032225,1.2499951253322135,1.2500048744830314,1.2500048742919023,1.2499951253897923,1.2500048746496168,1.2500048744599295,1.2500048745848826,-2.138270136047145e-06,0.2817513451540538,0.43404060274566314,0.5310659854714863,0.5987807745025849,0.6489211461599225,0.6876436740197535,0.7184976735315092,0.7436888665985558,0.764662537587801,0.7824070632038065,0.7976222009526412,0.810817803754453,0.8223788190084456,0.8325843815233089
3,1.3743475473012876,0.0007652721470506679,0.041114249965175986,12.346823519850291,1.3600000000000005e-06,1.2499920899582155,1.2499920845745691,1.249992084011696,1.2500079160865194,1.2499920960747595,1.2499920843641696,1.2500079103441302,1.2500079186302318,1.2499920842206076,1.2500079153213495,1.2500079148376837,1.249992084383385,1.250007915634659,1.2500079153079904,1.2500079155998614,-3.4423904987069044e-06,0.2817499852369635,0.4340392426160071,0.5310673455549205,0.5987821354026164,0.6489197862185876,0.6876423140283833,0.7184963136133228,0.7436875065850355,0.7646611775445673,0.7824057031687756,0.7976208409551668,0.8108164436923323,0.8223801790253821,0.8325843815233089
4,1.3743477545133764,0.0007652740498589283,0.04067791602574289,12.347001228289294,1.5400000000000005e-06,1.2499886472375201,1.2499886410949061,1.2499886403566525,1.2500113596715194,1.2499886559071365,1.2499886408170646,1.2500113542823612,1.2500113616528485,1.2499886406521883,1.2500113589425061,1.250011358276523,1.2499886408243766,1.2500113591845339,1.250011358821341,1.2500113591698894,-4.922099573957355e-06,0.2817484452697071,0.4340377025393384,0.5310688855609861,0.5987836755719408,0.6489182462233125,0.6876407740410144,0.7184947736039494,0.743685966571625,0.7646596375476994,0.7824041631623286,0.7976193009515402,0.8108149036554765,0.8223817190535883,0.8325843815233089
5,1.3743479937358982,0.000765276175834922,0.04056645801756531,12.345928740786176,1.7200000000000005e-06,1.2499848005437806,1.2499847949393215,1.2499847942734315,1.2500152055927205,1.2499848099551265,1.2499847947600666,1.250015202288811,1.2500152057308962,1.2499847946137868,1.2500152051298101,1.2500152047658952,1.249984794847713,1.2500152053605604,1.250015205049303,1.2500152052773212,-6.577993018901902e-06,0.2817467252047844,0.4340359824743475,0.531070605504539,0.5987853952179283,0.6489165261921961,0.6876390540435922,0.7184930535258559,0.7436842465534833,0.7646579175487009,0.7824024431745297,0.7976175809736441,0.8108131840635467,0.8223834392177037,0.8325843815233089
6,1.374348265429295,0.0007652785244665872,0.04033908300334588,12.34648921020436,1.9000000000000004e-06,1.249980551617977,1.2499805466334795,1.2499805455997897,1.2500194540011338,1.249980563358572,1.2499805462278017,1.2500194518332053,1.2500194530196935,1.2499805460831461,1.250019453811419,1.250019453575651,1.249980546333528,1.2500194540776,1.250019453533502,1.2500194539508491,-8.409501887035214e-06,0.2817448253523303,0.43403408237463775,0.5310725054549906,0.5987872950504525,0.648914626172709,0.6876371540451955,0.7184911534680308,0.7436823465303117,0.7646560175503911,0.7824005431842178,0.7976156809776719,0.8108112843459289,0.8223853393016343,0.8325843815233089
7,1.3743485691575523,0.0007652810961258261,0.04095516697270796,12.345051362772484,2.0800000000000004e-06,1.249975898920056,1.2499758960970875,1.2499758943264456,1.250024104711313,1.2499759137893922,1.2499758951668403,1.250024105586854,1.2500241022773102,1.2499758950812716,1.2500241050343737,1.250024104889921,1.2499758954012266,1.2500241053934713,1.2500241044741953,1.250024105196156,-1.0418132513449115e-05,0.28174274568114394,0.43403200220182275,0.5310745853331268,0.5987893746550653,0.6489125461252275,0.6876350740476548,0.7184890733774524,0.7436802665054196,0.7646539375594205,0.7823984631826856,0.797613600988573,0.8108092047844857,0.8223874193977462,0.8325843815233089
8,1.3743489072750932,0.0007652838906042205,0.04056954098632559,12.34573362023111,2.2600000000000004e-06,1.2499708440353434,1.249970842965992,1.2499708405806347,1.2500291581341805,1.2499708623133978,1.2499708416292206,1.2500291610478407,1.2500291543214979,1.2499708415882715,1.2500291587059937,1.2500291584602106,1.2499708421375844,1.2500291593250694,1.2500291576249452,1.2500291589758046,-1.26030528270579e-05,0.2817404859177359,0.4340297420301509,0.5310768452769021,0.5987916344878053,0.6489102860888306,0.6876328140525149,0.718486813307152,0.7436780064753779,0.7646516775578729,0.7823962031510152,0.797611341014516,0.8108069455222672,0.8223896795054206,0.8325843815233089
9,1.3743492801511676,0.0007652869071044934,0.04084920900641009,12.346678239653286,2.440000000000001e-06,1.2499653903292776,1.249965387733891,1.2499653842257843,1.2500346143552452,1.249965414200934,1.249965385595707,1.2500346135517924,1.250034612792897,1.2499653855582102,1.2500346146043784,1.2500346139529992,1.2499653864518234,1.2500346156196451,1.2500346127551987,1.250034615232697,-1.4962101959753984e-05,0.28173804635473443,0.4340273018840798,0.5310792853699269,0.5987940753361299,0.6489078461033236,0.6876303740410551,0.7184843734006043,0.7436755664430138,0.7646492375393048,0.7823937631221433,0.7976089010662122,0.8108045060667233,0.8223921195574547,0.8325843815233089
