iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,beta0,beta1,beta2,beta3
0,7.867366328443817,0.03250784133032087,0.23400658299215138,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796
1,7.867366328443817,0.03250780444002977,0.36741679202532396,39.97179643387462,1.0000000000000006e-06,1.2499977639343018,1.2500022360676806,1.2500022360675564,1.2499977639343107,-9.999994268626994e-07,0.281754525124738,0.4340437827797036,0.5310638054044796
2,7.867363143587117,0.03250776091457674,0.318612375005614,40.04404232761578,1.1800000000000006e-06,1.2499951255072705,1.2500048745138845,1.2500048745375545,1.2499951255060318,-2.1802019637570682e-06,0.2817557050700854,0.43404496272514503,0.5310638054044796
3,7.867359386241623,0.03250771075000815,0.00317874999018386,40.042645398132215,1.3600000000000005e-06,1.2499920846573063,1.250007915417891,1.2500079155135324,1.2499920846525716,-3.5405106563674293e-06,0.28175706499357006,0.4340463226483869,0.5310638054044796
4,7.867355055857453,0.03250765394401667,0.0027835419750772417,40.040914149265596,1.5400000000000005e-06,1.249988641369768,1.2500113588210189,1.2500113590816453,1.2499886413572123,-5.08089836131071e-06,0.28175860490895427,0.4340478625631078,0.5310638054044796
5,7.867350152134421,0.032507590494308826,0.002756834030151367,40.03898426717109,1.7200000000000005e-06,1.2499847956396146,1.2500152047624862,1.2500152053420992,1.2499847956121621,-6.8013526260204504e-06,0.2817603248276338,0.43404958248071307,0.5310638054044796
6,7.867344674784377,0.032507520397979,0.00310941698262468,40.036791420221306,1.9000000000000004e-06,1.2499805474633832,1.2500194532936095,1.250019454431609,1.2499805474106291,-8.70186694296957e-06,0.281762224764286,0.43405148241596947,0.5310638054044796
7,7.867338623446326,0.03250744365193335,0.002683291968423873,40.03445913053093,2.0800000000000004e-06,1.249975896843408,1.2500241044678435,1.2500241064963933,1.2499758967503745,-1.0782435169200216e-05,0.28176430473278896,0.434053562382023,0.5310638054044796
8,7.867331997733131,0.032507360252212916,0.002797125023789704,40.03191232555162,2.2600000000000004e-06,1.2499708437812258,1.2500291583558216,1.2500291617283992,1.2499708436284311,-1.3043053199359924e-05,0.2817665647521173,0.4340558223971219,0.5310638054044796
9,7.867324797150553,0.03250727019427381,0.0028144170064479113,40.02900047132966,2.440000000000001e-06,1.249965388280253,1.2500346150344601,1.2500346203569495,1.2499653880401849,-1.5483717004313345e-05,0.28176900484253775,0.434058262482009,0.5310638054044796
10,7.867317021130936,0.03250717347265706,0.0028498339815996587,40.02598095750203,2.6200000000000003e-06,1.249959530341767,1.250040474603546,1.2500404826542,1.249959529979431,-1.8104424406517774e-05,0.28177162503100717,0.43406088266265025,0.5310638054044796
11,7.867308668991662,0.03250707008102443,0.002563833026215434,40.02264775003544,2.8000000000000003e-06,1.2499532699707858,1.2500467371723862,1.2500467489450595,1.2499532694419428,-2.09051720426261e-05,0.2817744253464603,0.4340636829684365,0.5310638054044796
12,7.867299739937996,0.0325069600123263,0.0026594999944791198,40.019240248932356,2.9800000000000003e-06,1.2499466071711074,1.2500534028710715,1.250053419583568,1.2499466064221192,-2.388595778391179e-05,0.28177740582359273,0.43406666343223155,0.5310638054044796
13,7.867290233083811,0.03250684325812555,0.002768834005109966,40.01545623350324,3.1600000000000002e-06,1.2499395419493862,1.250060471848278,1.2500604950042142,1.2499395409148981,-2.7046778605947956e-05,0.28178056650223937,0.43406982409409556,0.5310638054044796
14,7.867280147367257,0.03250671980969423,0.002538417000323534,40.01151538781677,3.340000000000001e-06,1.2499320743128988,1.2500679442621376,1.2500679756531012,1.2499320729132122,-3.0387631660653117e-05,0.28178390742404646,0.43407316499421916,0.5310638054044796
15,7.867269481687459,0.03250658965713929,0.0027227079845033586,40.00730696344491,3.520000000000001e-06,1.2499242042676482,1.2500758202911615,1.2500758620427976,1.2499242024059436,-3.390851500104756e-05,0.2817874286364641,0.4340766861793917,0.5310638054044796
16,7.867258234797937,0.03250645278904426,0.002666667045559734,40.00291281025071,3.700000000000001e-06,1.2499159318205448,1.2500841001428336,1.2500841547630896,1.2499159293845874,-3.760942685605008e-05,0.2817911301953101,0.43408038770457225,0.5310638054044796
17,7.867246405257495,0.03250630919306215,0.002512125007342547,39.998295272459444,3.880000000000001e-06,1.2499072569813228,1.2500927840434264,1.2500928544492862,1.2499072538410132,-4.149036453774678e-05,0.2817950121610225,0.4340842696282982,0.5310638054044796
18,7.867233991504339,0.03250615885587888,0.002691707981284708,39.99343641652883,4.060000000000002e-06,1.249898179758502,1.2501018722359456,1.250101961793533,1.249898175762546,-4.555132645122281e-05,0.2817990745985758,0.4340883320143913,0.5310638054044796
19,7.8672209918547615,0.03250600176335824,0.002790333004668355,39.98836477580006,4.240000000000001e-06,1.249888700163176,1.2501113649756121,1.2501114775343114,1.2498886951382686,-4.979231005050529e-05,0.2818033175753883,0.43409257492937237,0.5310638054044796
20,7.867207404520363,0.03250583789957121,0.0025892920093610883,39.98301462012634,4.420000000000001e-06,1.2498788182065592,1.250121262551064,1.250121402505268,1.2498788119542976,-5.4213313252052645e-05,0.2818077411688242,0.4340969984502349,0.5310638054044796
21,7.867193227485081,0.03250566724749791,0.002720707969274372,39.97751339943159,4.600000000000001e-06,1.2498685339007265,1.2501315652785905,1.2501317375865728,1.2498685261982596,-5.881433406812032e-05,0.2818123454637342,0.4341016026588979,0.5310638054044796
22,7.8671784585891436,0.032505489789166175,0.002745000005234033,39.971749439017024,4.78e-06,1.2498578472596296,1.2501422734889067,1.250142483714802,1.2498578378543703,-6.359537010764148e-05,0.281817130548328,0.4341063876414806,0.5310638054044796
23,7.867163095552078,0.032505305505756234,0.0025718749966472387,39.96583062589094,4.96e-06,1.2498467582949246,1.2501533875343374,1.2501536418669459,1.2498467469047334,-6.855642057278034e-05,0.28182209651671214,0.4341113534884896,0.5310638054044796
24,7.867147135986034,0.032505114376226996,0.0025867089862003922,39.95959709534402,5.140000000000001e-06,1.2498352670214123,1.250164907804882,1.25016521313769,1.2498352533324855,-7.369748347162692e-05,0.28182724347413796,0.43411650030292276,0.5310638054044796
25,7.867130577218633,0.03250491637906119,0.002490375016350299,39.95320600302407,5.320000000000001e-06,1.2498233734555109,1.2501768346948012,1.2501771986558141,1.2498233571207225,-7.901855668710713e-05,0.28183257152543134,0.4341218281880473,0.5310638054044796
26,7.8671134165182615,0.03250471149132007,0.0027364579727873206,39.94655051539435,5.500000000000001e-06,1.2498110776137172,1.2501891686331383,1.2501895996134849,1.2498110582492536,-8.451963842840686e-05,0.28183808078575096,0.43412733725541836,0.5310638054044796
27,7.867095650968564,0.03250449968906932,0.002513459010515362,39.939683423152545,5.680000000000001e-06,1.2497983795131986,1.2502019100660204,1.2502024172587654,1.2497983566959534,-9.020072678569837e-05,0.28184377137448335,0.43413302762123446,0.5310638054044796
28,7.86707727752622,0.03250428094607132,0.0025799169670790434,39.93247811925515,5.860000000000001e-06,1.2497852791714386,1.2502150594733707,1.250215652975162,1.2497852524341773,-9.606182038007693e-05,0.2818496434212473,0.43413889941577805,0.5310638054044796
29,7.867058292858778,0.03250405523545115,0.0026717919972725213,39.92519485948311,6.0400000000000015e-06,1.2497717766084926,1.2502286173571597,1.250229308161663,1.2497717454441428,-0.0001021029169235091,0.2818556970607684,0.43414495277023635,0.5310638054044796
30,7.867038693546282,0.03250382252925107,0.0027220420306548476,39.917715766475425,6.22e-06,1.249757871844694,1.2502425842473892,1.250243384265464,1.2497578357051506,-0.00010832401521244372,0.28186193243529317,0.43415118782090817,0.5310638054044796
31,7.867018476028895,0.0325035827978754,0.0025660000392235816,39.9098967709042,6.4000000000000006e-06,1.2497435649010125,1.250256960694761,1.2502578828338082,1.249743523190213,-0.00011472511328221737,0.28186834969336866,0.4341576047144099,0.5310638054044796
32,7.866997636540232,0.03250333601046707,0.0024955840199254453,39.90182955086176,6.5800000000000005e-06,1.249728855799426,1.2502717472769378,1.2502728054752676,1.2497288078704951,-0.00012130620915671625,0.2818749489911285,0.43416420360417474,0.5310638054044796
33,7.866976171151221,0.03250308213581765,0.0026460419758222997,39.8936385154808,6.760000000000001e-06,1.249713744562914,1.250286944589308,1.2502881538031754,1.2497136897169934,-0.0001280673013994434,0.28188173048860987,0.4341709846435863,0.5310638054044796
34,7.866954075882534,0.032502821140576656,0.002446040976792574,39.88520794476462,6.940000000000001e-06,1.249698231214037,1.2503025532504752,1.250303929567196,1.2496981687026452,-0.00013500838885958753,0.2818886943522978,0.4341779479982545,0.5310638054044796
