iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8
0,2.8943579521406315,0.004101449688187046,0.2462363750091754,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832
1,2.8943579521406315,0.004101469154270233,0.38787533302092925,9.244417925337181,9.999999999999159e-07,1.249997763916025,1.249997763916,1.249997763916011,1.249997763916006,1.2500022360859884,1.2499977639160045,1.249997763916012,1.2499977639160051,1.2499977639160293,-1.0000075740415604e-06,0.2817525251177089,0.43404178277269206,0.53106280539687,0.598779594063562,0.648922326114799,0.6876448540029529,0.7184988534515263,0.7436910466053832
2,2.894363489862355,0.004101877024049345,0.339520999987144,9.240264978366785,2.097999999999987e-05,1.2499508518181397,1.249950852050248,1.2499508517938636,1.2499508517070852,1.250049148756696,1.24995085178577,1.249950851920229,1.2499508517735989,1.249950851973294,-2.1045894203249992e-05,0.2817315452364694,0.4340208028259021,0.5310418254266267,0.5988005719775326,0.6489013459781883,0.6876238740000362,0.7184778734410159,0.7436910466053832
3,2.8944788986055086,0.004102673239391413,0.009099207993131131,9.233537776932103,4.095999999999993e-05,1.2498592704931482,1.2498592716674228,1.2498592648418527,1.2498592679985556,1.2501407384557592,1.2498592669062163,1.2498592653682057,1.24985926567824,1.249859266821596,-5.987005058809956e-05,0.2816905868941865,0.4339798430315225,0.531000866220109,0.5988415228209777,0.6488603856528826,0.6875829137938207,0.7184369132204107,0.7436910466053832
4,2.894704025599022,0.004103857931488817,0.009069749969057739,9.231526506416438,6.0939999999999996e-05,1.2497230337487728,1.2497230312795604,1.2497230007089875,1.249723021168038,1.2502770147342397,1.249723017789641,1.2497230104074422,1.249723011316373,1.2497230155714973,-0.00011756432736689779,0.2816296505257309,0.4339189016472166,0.5309399284175795,0.5989024673517314,0.6487994489619724,0.6875219741311958,0.7183759731666313,0.7436910466053832
5,2.8950391117986056,0.004105431417210656,0.008806207973975688,9.20762290773113,8.091999999999984e-05,1.249542193277569,1.2495421762614516,1.2495420557111976,1.24954213723948,1.2504579735848924,1.249542121958398,1.2495420908934918,1.249542096040087,1.2495421056484466,-0.0001941921157125418,0.28154874703424465,0.43383797858089956,0.5308590176966508,0.5989833763893764,0.648718538804324,0.6874410556196263,0.7182950525926514,0.7436910466053832
6,2.89548438968456,0.004107394062680501,0.008896708022803068,9.205171450464379,0.0001008999999999999,1.2493167726319307,1.2493167234290337,1.249316422327231,1.24931662951932,1.2506836079923307,1.2493165914037778,1.2493165183259225,1.249316527463456,1.249316556621896,-0.00028982094971002805,0.2814478780461249,0.4337370717182144,0.53075813629418,0.5990842547637514,0.6486176582688753,0.6873401571224648,0.7181941511122495,0.7436910466053832
7,2.8960402319165897,0.0041097461117404685,0.009098584007006139,9.1707484087635,0.00012087999999999997,1.249046896060739,1.2490467769265727,1.2490460820246463,1.2490465593984317,1.2509539219581325,1.2490464663787226,1.2490462979510661,1.249046318165123,1.2490463822731785,-0.0004044122849105078,0.2813270687027721,0.4336161784213838,0.5306372979524836,0.5992050852267136,0.6484968202451269,0.6872192814462328,0.7180732675549933,0.7436910466053832
8,2.8970051538530934,0.0041124736218851295,0.008801083022262901,8.271474522878437,0.00014085999999999992,1.2487402464635473,1.2487371111308578,1.2487303261800329,1.2487325174940644,1.25126961409187,1.2487303173064517,1.248732591551608,1.2487321909548856,1.2487295168202368,-0.0005340873393269284,0.28118741107477635,0.4334750457183134,0.530496513521184,0.599347395715924,0.6483559041591087,0.6870793846466581,0.7179330664183653,0.7436910466053832
9,2.897769787217653,0.004115575291019914,0.008597500040195882,8.241122568813665,0.00016083999999999998,1.2483971874770683,1.2483879408322083,1.2483691354622812,1.2483745588857076,1.2516306538596254,1.2483682121253057,1.248375422463186,1.2483741339496646,1.248365988517683,-0.0006786498875670348,0.28102893890051683,0.43331367066829884,0.5303357961747585,0.5995116530337731,0.6481949293215152,0.6869204586718711,0.7177735344950488,0.7436910466053832
